V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
140743	While this year is an exception, in the past I think we have not been unified enough. But I'm very proud of the party this year, since Joe Biden endorsed Kamala Harris.
140744	economic policy, the way they handle men in women sports
140745	no backbone or conviction
140748	all of the reasons I wrote that I don’t like Kamala harris
140749	tendency to benefit those who choose not to work
140755	Brainwashing the youth to the linearly instead of laterally in terms of political stance. The gender ideology culture war. Aid to Ukraine. Ousting Joe Biden from being able to run. they're essentially the same as the Republican party and both parties fall in line when it comes to war and regime change, the bend the knee to corporations just like the Republicans do. They claim to care about Palestinians and are the anti-war party" yet we have a death toll of nearly a 100k dead women and children under the current administration."
140756	too generous/willing to allocate money that could hurt the country rather than help it.
140760	At times they are not strong enough to deal with Republicans.
140761	Too much spending. Larger government.
140762	cater to far left, too many pork barrel projects
140766	SK
140769	que estan manejando mal la economia y dejo pasar muchos indocumentados, prefirio arreglara a los que entraron que a los que ya estan aqui
140773	They give away the farm.
140774	They like more government, national, and less state.
140775	They seem to believe that everyone is helpless without the government. Both parties spend excessively but the democrats seem to want to spend more and more.
140778	how much of the media is on there side,
140779	they follow without thinking for themselves and think socialism is a good thing.
140780	That they can't get along with the Democrats
140784	gives away to much money
140785	inability to work across the aisle[CHAR(10)]spending
140786	Democratic Party is evil and so are their policies.
140787	THEY HAVE GOTTEN TO POWER HUNGRY, CAUGHT IN TO MANY LIES, GUILTY OF THINGS THEY ARE ACCUSING OTHERS OF. WAY OUT OF TOUCH WITH THE AMERICAN PEOPLE.
140791	Socialism
140792	Of course, they're far from perfect, but no one example comes to mind at the moment.
140794	Fight for our rights
140797	They need to start standing together on all issues regardless of differences
140799	THEY LIE and I never believe a word they are saying. Kamala's husband to start is a socialist, HE NEEDS TO move to Cuba if you don't like the good old USA!
140803	I completely disagree with nearly all viewpoints coming from the Democratic party. As a teacher, I have seen firsthand how education has become less and less important. Other talking points that I disagree with the Democratic party on are abortion, gun control, immigration, healthcare and our economy.
140809	WOKE AGENDA
140811	they are too concerned with being woke so we cant seem to work with anyone from the other side
140812	all of it. too liberal
140813	Liberal in everything!
140814	they still have the same problems as house and courts need term limits so many waste so much time getting elected not much governing is done
140815	Reparte mn demasiado de dinero a otros paises que tienen dinero
140817	stance on transgender and on energy
140818	The party has gone far left. So much Marxist type behavior. They are for censorship and cancel culture.
140820	The party is far too extreme and has lost touch with reality and core American values. I have never seen this country so divided and most of the blames falls on the Democratic Party.
140822	Not my thing
140823	gas prices are at an all-time high
140824	giving everything away for free
140825	to progressive
140826	Poor economic policies.
140827	their control over meia and educational system
140828	feel as though parties are full of older people
140829	Same old politicians
140830	support abortion
140831	spending border and war on oil
140832	I feel like they haven’t gotten much done in recent years.
140834	seem sneaky and dishonest overall.
140835	The way they are handling immigration and sending money overseas for other people wars
140836	They tend to let the far-left dictate policy.
140839	Donald Trump just don’t like him
140840	they don't fight back hard enough
140842	Seemingly not unified on International issues.[CHAR(10)]Not aggressive enough to push back on conservative issues.
140843	The existing policy in Middle East/Gaza
140844	open boarders, welfare dependent, more government control
140845	The party hates our country. They have always had racist tendencies and utilize identity politics. The party has ties to organized crime and corruption. The party wastes taxpayer money on pet projects. I also honestly believe that the party played an active role in election fraud in 2020 including but not limited to ballot fraud, inciting and funding riots, and even starting the pandemic with the intent to be able to implement more widespread mail in ballot use.
140846	Anti USA. Higher taxes. supports abortion. dosent support 2nd amendment.
140848	Some parts of the abortion policy, the gender change policy, and the open borders.
140849	meant to type last response in this box
140850	most undemocratic party
140851	immigration policy, tax and spend, DEI, government overreach
140853	Clan loyalty. Occasionally sink below the level of honesty I am comfortable with. That's all i remember now.
140854	Socialism, antisemitic, nanny state, high taxes and uncontrolled spending
140857	it seems to me the democrats are trying too take control over our lives
140859	Their pride in 2016 is what got us into the mess with Trump in the first place.
140861	It tends to be a bit disorganized at times.
140865	Hunter Bidens laptop, J6, Misinformation surrounding Trumps assination attempt
140866	a little soft on immigration
140870	lack of serious ness on crime, illegal immigrants ,pushing trans ,seem to only care about something when there power is at risk not serious people
140872	They own most of the media and use it as a propaganda mic
140874	Immigration policy and the far left
140877	lax policies on immigration and crime
140878	Stance on Abortion[CHAR(10)]
140880	The fact that they discontinued Roe vs Wade. Going backwards in history for women and middle class people. With their candidate they are not accepting everyone as equals. The rich are definitely taken care of but not the middle class, minorities or women.[CHAR(10)]
140881	they don't always stand up to what is wrong
140883	destroying the economy being involved in way more then they should
140888	Removal of power of law enforcement, decriminalizing crime, support programs that lead to increased homelessness, open borders/ no enforcement of current immigration laws.
140899	The position regarding the economy in general, the intentions of over regulating.
140900	liars trash talkers and get nothing done care more for illegals and others and care nothing for Americans
140901	They have not been strong enough against the Republicans and all the bullshit. Only now that Harris and Walz are running have they started showing strength against the Maga Republicans.
140903	boarder policy, gender policy, welfare policy, how they have handled urban cities
140907	most of their views on things
140909	do more for other countries than America.
140912	they do not wanna say they support legal immigration. And they don't wanna say they are against illegal immigration.
140914	Like all parties, the Democratic Party does not work with the other side to get things accomplished.
140917	everything eveything
140919	They don’t speak out often enough about the lies the Republicans tell like Trump taking credit for the economy that Obama built up.
140921	Their woke policies are destroying the morals in this country. They lie about everything.
140922	I think the Democratic Party is more liberal than the Republican Party and seems to be more inclined to cater to current social trends.
140923	Too light on crime.
140926	some of their liberal views on religion
140930	The inability to lead this country forward. I'm not impressed with either political party right now.
140931	They have our economy in shambles.
140933	Wasteful goverment spending on social programs without any research on effectiveness. anti-nuclear agendas, pushing agenda items rather than promoting economic growth and not supporting the everyday American. No immigration reforms
140934	open borders, climate change bs, spending, inflation, crime, weaponization of nearly all government entities, going after political opponents, lies, lies, lies
140936	give away too much money to homeless and illegals
140937	Food costs & property taxes have increased significantly and I feel that this needs to become a priority.
140939	too far left from center
140940	Failure to enforce immigration laws at the border.
140943	im a republican
140948	Follow through with their promises.
140949	They are sometime to soft.
140952	The current democratic party is really for the rich, elitist, academics that seem to believe they are the 'ruling' class and should dictate to the rest of us. Their messaging is insulting - it seems they believe that if they say something often enough it makes it true, which it doesn't. Both parties are guilty of this, but the democratic party has done a more thorough job of hijacking the news so that we don't get news - we just get opinions from people who think they should/can/deserve to tell us how to think.
140954	everything
140956	they lie and cheat and lean left
140958	They are still stuck in a very dualistic system, which has an old, ineffective template of how folks get to power - through money, stake holders, and rich influencers.
140959	They need to wake up and get stronger about fighting for what’s right.
140960	entitlement, wonk
140961	constant spending!! College loan forgiveness!! college isn’t required. Government didn’t pay for my education!!
140962	think they have fallen away form what they used to be , they are only interested in beating Trump
140964	they have gotten so dishonest. they have lied about the condition of the present president. the vice president isnt doing her job to secure our border but she says she will fix it if electrd president and the economy tanked when they shut down the oil business which really raised the price of gas which increased the price of everything. We were selli g our oil to other countries and now we are buying oil and the countries that are now selling oil can afford to finance these wars
140965	Ties to corporate
140969	The border crisis
140970	they are allowing non-citizen people to come in the border and we are having to pay for them. And they are wanting to kill babies at nine month old.
140979	They are still owned by corporations and ultra wealthy just not as bad as republican party.
140981	they aren’t as progressive as I would like them to be. They need to be more proactive and aggressive about passing helpful laws.
140982	They are too lenient on certain topics. Or didn't stop senate bills from passing that don't make sense
140986	Too liberal and open borders
140988	I dont like that their selfish
140989	There is clear corruption throughout the party, to a lesser extent than the GOP but still a hindrance to the goals of the party. There are also times where they seem to back down from political moves that could benefit the people, where they will instead use the situation for campaigning and trying to garner publicity.
140990	some of their policies
140991	a little loose with printing money and bailout
140992	leftist progressive views. not your grandfather modern democrats
140993	to liberal
140997	dicen cosas que no cumplen
141000	Weak immigration policy
141001	We should of never aloud to have the border wide open. Too many people probably came in with no good reasons and planning against us or to harm us ..like ices.
141005	to liberal everyone does not deserve a free check
141007	the economy is in bad shape with the Democrats. they are too loose in their rules on transgender children, abortion, and immigration.
141009	Financial ties with war criminals like the Israeli government. Immigration detention and deportation.
141011	Open border. economy, most liberal party in many years. The actions by the party and media have pushed me so far right, i will not vote for anyone in that party nor trust the media again. I was a registered democrats for about 30 yeas of my life, changed to independent and then to a central republican. I am so far right now that the only left I can see is how I shoot my shotgun. My wife, daughters and grandchildren are republicans. They liberals of this nation have a lot of work to do, hope not in my lifetime.[CHAR(10)][CHAR(10)]
141016	I don't like the way they steered Democrats away from Bernie Sanders and Carvelle won't shut up.
141018	Too much emphasis on putting people into categories (first woman to do this, first black such and such, etc) rather than just treating us as people. Focuses on letting everyone do their own thing (gay sex, changing genders) rather than having a strong moral foundation and recognizing that some things are black and white and not everything is for the individual to decide what is right.
141021	Wide open borders, printing and borrowing money we don’t have
141023	too liberal, too woke, too high taxes, terrible border control
141024	They appear to want to have more government oversight with all American’s more big government
141026	Too much negativity.
141027	allowing illegal immigrants into this country.
141028	Biden supports China
141029	In general, they aren't great with messaging, making it clear how laws they've passed and actions they've taken are making people and our country better off.
141031	Lack of focus. More attention on trans rights and diversity than on the issues that affect Americans the most.
141032	they have lost there way,and are destroying our country especically with allowing immigrants into our country without vetting them. allowing statues that are an importanrt part of our history .allowing our cities to be burned when they dont get there way. failure to jail those that destroy individuals property.
141033	idea that people should get things they don't have to earn
141034	abortions, LGBT, undocumented immigrants.
141035	foreign policies and conflicts
141038	Less conservative
141039	scared of replublicans. won't stand up to them and follow thru on calling them out.
141040	Inmigración, inseguridad
141042	Their tax policies don’t really reflect my fiscal priorities.
141043	The Democratic Party spends too much money.
141045	socialism has never worked in any country.
141047	Sometimes too much infighting allows republicans to win
141049	the far left and infighting [CHAR(10)]need to work together more
141051	I Feel they are the cause of most of the hate that is in the nation at this time. Everyone is a racist, or something in their eyes. and they and the media should be Ashamed of themself.
141055	foreign policy towards Palestine is too easy on Israel, no marijuana legalization, no universal support for single payer healthcare
141056	to me, the Democrats seem to be way more aggressive and loud and in your face it seems like they try to strong arm you into submitting to believing the way they do.
141059	abortion, border, crime, economy issues
141060	Far too extreme and soft
141061	They really need to get their act together.
141062	The things in particular that I do not like about the democratic party are energy policy, foreign policy, inflation, abortion party, no control over the border, lack of support law enforcement which leads to massive crime.
141063	They do not know how to use power when they have it!
141064	At least until recently they didn't seem to have a direction and just would always be on defensive on policies. Now they are more offensive and it is refreshing.
141065	They are a losing party and dishonest about many things.
141067	Everything. This party wants to do nothing but tear apart our country and make everybody dependent on the system.
141070	having illegal Mexican crossing the border
141071	They need to be more assertive in their beliefs. I think many politicians on both sides are focused on keeping their seats rather than helping the country succeed.
141075	Transgender Operations Shouldn't Be Performed Or Covered By Medical Bc One Wearing A Mask Should Not Be Supported...
141077	Seems like they party is too willing to let the far, far left speak for them and polarize everything. Spends money like it will never be accounted for. Seems like they are tone-def and do not realize that everyone in this country does not live on one of the coasts. You would think a reality check should have happened to them when Trump beat Clinton. She was so unpopular that she let that idiot beat her, yet she still walks around like a celebrity. Seems like the party thinks too highly of themselves.
141078	Abortion, they are baby killers
141080	Pushing Bernie out. elitism and not listening to the working class but letting those with money make big party decisions. not doing enough for climate change. Too much money in politics.
141082	It seems to me that they have swung so far left that they aren't even on the spectrum of reasonable anymore. Males in female sports. Exaltation of LGBTQAIP+-&@# as if gender is the new final frontier. Insane and ridiculous approaches to education and overt censorship of any speech that makes them look like the certifiable lunatics they've become. Democrats used to be the party of caring and reason, the party of the little guy. Now, they're becoming monsters.
141083	WOKE, facists, Obama-loving Muslim[CHAR(10)]extremist lovers.
141084	extremes of ideas, when democrats yell that other opinions are wrong and cannot voice opinions
141085	Everything.Bad policies concerning the border... crime...being energy dependent...foreign policy.......
141086	no Presidential candidates I feel strongly for; not doing more for regular Palestinians; not taking stronger stance against Israeli government; unable to figure out a solution for the southern border crisis; seems to be more reactive than proactive
141087	from my view it's weaker fundamentally
141088	No policies and very worried about our country if Democratic party wins. Immigration is my biggest concern.
141089	The way the handling of the country
141093	Nancy Pelosi she cheated on her tax returns. She cheated when she knew about selling her stocks when they was for she wouldn’t lose any money
141094	They don't always stand their ground.
141097	open border to many gives to those who enter our country illegal
141098	The Democratic Party needs to articulate more strongly how it will reform the Supreme Court.
141099	Nominating candidates that don't resonate with people.
141100	seeming lack of trying to understand why 46% of the country feels abandoned, no attempt to control illegal border crossings, strategic lack of concern the US has no domestic commercial ship building industry and limited military capability, limited military support to Ukraine
141101	government giveaways to gain votes, implementing imormal lifestyles which will in time destroy our country, teaching people how to be helpless letting the government take care of them.
141105	SK
141106	They sometimes have other motives once they get in office.
141108	Their inconsistent messaging and disconnect from the general populous
141110	They appear to be pro socialists.
141111	THERE HATE FOR AMERICA AND OUR CONSTITUTION .
141112	pro abortion, careless or no immigration handling, NO modal sense
141113	handling debt and our economy
141117	Democrat party now is not the decent Democrat of JFK in the past. Now communist Democrats follow globalists, communist China, deep state with Obama to destroy America. Democrats always lie with no shame, no morality and no patriotism. They open border to take over 15 million illegal strangers in to burden American citizens and replacing white people. Obama and democrats divided America with racist propaganda and Trump hate. Most Democrat lawmakers and voters are OK with STOLEN Election, extreme abortion, government dependence, inflation, crime increase in blue cities, sexual garbage books in children libraries, and worst, they accepted to be brainwashed by the DNC propaganda with evil actions and oppression to patriots and Jan 6 protestors who are real political prisoners at DC.
141122	power at any cost
141128	Mostly their stance on abortion, immigration/open borders, allowing socialistic agenda by some far-left democrats to cause issues in the party.
141129	wokeness[CHAR(10)]anti family[CHAR(10)]anti American pride [CHAR(10)]anti white [CHAR(10)]anti male [CHAR(10)]pro china [CHAR(10)]illegals are a problem [CHAR(10)]most are idiots [CHAR(10)]they are weak
141130	almost everything they are doing,( from the economy , rents and mortgages , foreign policies , the crime rate , etc ) is to hurt this country , in my opinion .
141131	Much too liberal and want to change our country into socialism and they spent too much money on wasteful programs.
141132	They have tried to divide the nation referring to black and white issues in particular.[CHAR(10)][CHAR(10)]They have lied about issues like the Russia gate deal and turning the FBI, CIA and major news networks into political weapons. Also I do not like all the legal harassing of people who disagree with them or their policies like Elon Musk and Trump.
141138	teaching children about inappropriate sexual content! open borders! spending my tax dollars frivolously! lying about everything! not serving we the people but themselves! dishonoring God at every turn! disarming police! crippling ICE! making themselves rich at our expense!
141139	I don't like how that think more liberally than conservatively.
141140	sometimes they are too weak
141141	too far left, too much love for power and not the people’s interest
141142	everything. they lie about everything
141143	Stronger on immigration laws and border entry.
141144	Too one-sided. They should listen to the Republicans and Independents.
141150	Too soft on crime.
141152	They are often too weak willed. MAGAs are brash and confident (though often wrong), the Dems need some of that higher-energy determination. More Liz Warren!
141154	immigration status or lack there of
141155	they are for the people
141157	Their energy policy especially with them wanting eliminate fossil fuels. I'm all for the development of different alternative renewable forms of energy, but not the so ridiculously trying to eliminate existing and cheaper forms of energy. Their deficit spending has created inflation and they can't just keep trying to tax the rich thinking that will solve the problems and finances of problems.
141158	The Democratic Party sometimes lets its mission to serve the smallest minorities get in the way of doing what is best for the most people. An example is the push for trans rights--this is an important consideration, but maybe more important is to not let the vast amounts of working class folks in hard-hit areas feel left behind. This ends up hurting the Democratic Party, as white working-class people have left the Democaratic party in droves, in favor of the MAGA movement, which promises them their recompense, often at the expense of immigrants and minorities.
141159	Joe Biden and Kamala Harris
141160	everthing that they do
141162	sometimes they take a too liberal approach
141165	They will Lie, Cheat or Steal for power money or control. Giving personal or party gains over the good of the country.[CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]
141167	sometimes their willingness to help is good, but people still need to help themselves at the same time
141169	basically everything
141170	Blame Trump and Republican party for all the country's problems ( imigration/ economy) while they have been in the White house for the past 4 years and haven't solved the issues; I don't care for their encouraging transgender movement and Kamala is proud she's made the cost of transgender surgery available to prison inmates[CHAR(10)][CHAR(10)][CHAR(10)]
141171	letting JB continue as long as he has.
141172	That it is very liberal
141173	Spend, Spend,Spend with our money.
141175	The two party system in general is flawed. Nobody is 100% right.
141176	THEIR POLICIES ARE BASED ON THE DESTRUCTION OF AMERICA--JUST LOOK AT THE [CHAR(10)]BORDER---THE INFLUX OF IMMIGRANTS IS INTENTIONAL
141178	Lack of a system to process immigrants. Their extreme position on abortion and lack of any concern or tolerance of people who are concerned about the unborn child.
141180	I think we should all be equal, that doesn’t mean someone gets more help because of their race or who they love. that’s unequal.
141183	Sometimes they focus on idiotic things like lgbtq rights when there are real problems that need to be dealt with first.
141184	they have a horrible foreign policy and they push transgender on everyone they make a mockery of our country having people twerk at the White House I am against everything they have done
141186	With democratic registration their candidates should never lose. I see this as lacking the ability to completely energize their voters.
141192	Democratic Party has allowed republicans to out campaign them. Democrats need to be really good at shutting down the misinformation. Democrats are the majority but the system has been gerrymandered unfairly and that needs to change if we ever want to push the right policies forward instead of being in a stalemate passing policies and then later having them voted out.
141193	They are not strong enough, and don’t brag enough.
141194	Open borders, war against fossil fuels, wasteful spending. Focusing too much on race, sex gender instead of qualifications.
141195	Some extremists in the party but not the party in general
141196	the blurred line between right and wrong acts. Especially when it come to religious morality.
141197	more taxes for my bracket
141200	for hard working Americans. pro American dream. pro life. for smaller government.
141205	Poor immigration policy[CHAR(10)]Poor economic policy[CHAR(10)]Too many policy differences within the party.[CHAR(10)]
141208	They spending is out of control!
141209	Giving benefits to illegal immigrants when they should be helping American citizens more.
141210	promotion of the famous and rich instead of trying to make middle and low income life livable.
141212	many are bought and paid for on both sides
141217	Lack of push/drive. Lack of Party candidates.
141218	Untruthful with the American people.
141221	Letting all that won’t come in our country with out verification
141225	I think the party is all about controlling the American people instead of working on our behalf and I believe that they're more interested in power than compromise. The way Joe Biden has been exploited is stitching and disheartening, and their choice to have Kamala as a presidential nominee when they've even admitted that she's a train wreck of a vp is astounding to me. At least choose somebody competent.
141228	Not as practical as it needs to be sometimes. But also does not boldly put forth a vision for the future as I would like.
141230	Rashida Tlaib and Ilhan Omar are overt antisemites and should be condemned and disciplined by the party.
141233	Too liberal
141234	Inability to affect change and lack of cohesion
141235	Their unwillingness to accept any other ideas that don’t agree with theirs
141237	not progressive enough, in my opinion. and largely full of cowards
141239	everything they now stand for
141240	I no longer trust the democrat party. Feels very much like they have their own agenda and they dont stand as strongly by their ideology as they did prior. Now it is about who they can get financial support from and the democrat candidates feel like puppets to get these agendas completed.
141241	the party is too left leaning and liberal.
141243	The democrats only care about gays, abortion and rich tech people. Plus they lied about Biden having dementia.
141244	they are too relaxed on immigration. Too focused on abortion. Too relaxed with foreign policy.
141247	liberal and socialist agenda
141248	I my opinion, the Democratic Party has been captured by the globalists who are pushing for a socialist one world order.
141253	Too much spending.
141260	They sometimes form blocs for election purposes only. In reality, they have kept unfavorable candidates in office, just to keep their majority!
141261	Marked 'yes' when it was supposed to be 'no'.
141262	Everything related to gender politics and DEI. Democrats also do not work to influence/conteract the current perceptions the right is pushing on them. Democrats need to take back patriotism and American Pride and LEADERSHIP.
141264	They don't have the balls to stand up for their beliefs. The Blue Dog Democrats of old sure did. I didn't always agree but it was clear where they stood.
141265	Get with it! These past 30 years of obstructionism have left behind belated laws, witness immigration law, military budget, job training subsidy, drug laws, etc and if anything is to be done it’s gotta be the Dems because Republicans care about rich donors and little else.
141266	The Democratic National Committee, I believe, has been elitist, overbearing and slick in the way it tries to control the party.
141267	I think they generally see government, and especially the federal government as the primary solution to problems.
141269	Agree to abortions - allow abortions at birth. The border was never a high priority. Cutting the has been a disaster. Leaving soldiers, locals who helped our country, behind when the military was pulled out was criminal! Leaving millions of dollars of our military equipment behind to be used by any an all criminal activity was totally unacceptable!
141270	more government
141271	Too liberal and control the news media
141274	Too liberal. They are not logically looking at the end of carbon engines and how electric vehicles will also negatively impact the environment. Also going too far on welfare and handouts. Refusal to deal with border issues until it is election time.
141275	they seem to can't get anything done.
141276	They are liars, manipulators of the media, they are using scare tactics and everything bad they say about Trump is basically a reflection of them
141281	abortion policy
141286	The education system needs a revamp that is teacher driven not test driven. stop passing kids that are not grade level competent, university tuition is ridiculous promote the trades more, revamp the welfare system to incentivize those living at or below poverty level. Stop adding to defense without adding to all other areas. Without an educated population we are nothing.
141288	Even though they seem to care about all levels of society , they sometimes seem guilty of giving it all away..
141291	Recent candidates
141295	The rhetoric on the far left of the party has gotten louder and more antidemocratic. Understandable this is in reaction to the rhetoric given voice on the other side.
141300	They can be too timid. It seems like they get caught off guard by the Republican nastiness too often, because they play by the rules and the Republicans don't.[CHAR(10)][CHAR(10)]
141301	Immigration issues, poor economy, high interest rates, giving too much money overseas, funding too many social programs for minorities.
141302	The Democratic Party used to be known for the working class of America. Anyone who still believes this or is standing with this party because of their parents being democrats, always voting straight dem ticket is being fooled. Since 2020 and our 2020 leadership, there has been a turn that is anti-America - what we stand for, have stood for. It seems the dems are more about being popular with voters (cancelling student loans - how stupid), not following our Immigration policy; instead, giving sanctuary to any one coming in - even cartels, traffickers - removing any 'bar' of check and balance which is how our US government was established - a system of checks and balances. Too many obvious things done in this term by dems - including what seems to be buying the media. Burying Hunter Biden's illegal and untruthful activities, along with Pres. Biden's (family in bed with China and filling their bank accounts deceptively). Everyone must open their eyes and get real by knowing what you value and voting your values. I honestly believe past performance is a stronger indicator of future performance - it's not a golden rule or fact; but it's more than marketing or flat-out untruth.
141303	Get better candidates that can relate to us common folk.
141306	Can't seem to get along with the Republicans
141307	They kill babies and allow illegalimmigrants with convicts in.
141312	I feel like sometimes the Democrats are just too nice!
141313	Immigration policies
141316	When they push their own moral values on others
141317	That this party also takes handouts that make them lean a certain way. Based on what they preach, you would think they would actually represent the people vs. corporations.
141322	woke agenda. policies revolve around liberal policies or whoever they are pandering too
141324	Too much infighting with the fringe of the party, not enough effort to counter the efforts of the right to infringe on voting rights.
141325	Not great political fighters
141326	the candidates
141328	don't care about the middle class. We can't afford food, gas, everything is sooooo expensive, you need 2 or 3 jobs to exist
141330	Most of their social policies.
141334	Support of same sex marriages and transgenders competing in sports.
141335	Border policies
141338	Sometimes the extremist go too far and give the Dem party a bad name.
141340	Nitpicky, unable to bend for compromise, budget issues, too much foreign aid
141341	They tend to be less fiscally conservative.
141342	slow to move on important issues
141343	overall tired of old people making decisions and playing these political games
141344	lack of control of the border
141348	I don't agree with the liberal extremism in the party, especially around issues like children's trans rights, pro Hamas rhetoric, and some immigration policy
141349	they overcompensate. also, they spend to much.
141350	they are looking for more government involvement. like a said in the other answer, government waste money the more the get involved.
141353	they need to be stronger with their stats sometimes you have to fight fire with fire
141354	There are certain agendas that I don't particularly agree with. I know the Dem party drives for inclusion of all things - but, my beliefs are not in alignment with the effects of the agendas they are pushing for. Ex. allowing puberty blockers and gender transition for young children. If we won't allow children to take drugs, drink alcohol, or even sign up on their own to go to a public jumpie house (must have adult waiver), why would we allow them to make life altering decisions about their body when they are scientifically proven to not be able to make sound decisions based on an underdeveloped prefontal cortex ( age 25 I believe).
141355	Open border policy, electric car policy, energy policies, gun control policies, foreign affairs policies. I think America is seen as weak and vulnerable under Biden and Harris
141358	Giving away too much money
141359	They are taking things way too far, way past anything within reason.
141362	Leaning heavily toward a Socialist government
141363	Immigration policy
141366	are leftists or progressives. do not like what they stand for i.e. poor policies regarding economy, immigration and border. Do not their policy of downsizing the police
141368	I believe both political parties are flawed in some ways. I think the Democratic Party can still be bought and sold to the highest bidder when given the chance.
141369	list is too long. Their lack of seriousness about the border and obvious abuses of the asylum policy. Their authoritarian approach to covid policies. Their annoying habit of reading Trump into literally everything (which allows them to not actually address anything), and the media fawning and cover they provide them. And their willingness to walk us into a potential nuclear conflict with Russia.
141370	Spending money right and left without financially backed; have wasted the last 4 years under Biden/Harris; they stole the election from Trump in 2016; the president and vice president are puppets on a string being handled by Democratic elite
141374	Fiscal responsibility is not a strong suit, some policy positions held by the far left are too extreme in my opinion
141375	Their relentless increases in taxes and fees on any level of government where they have power has to stop.[CHAR(10)][CHAR(10)]Their ridiculous spending, especially on pet projects, has to stop.[CHAR(10)][CHAR(10)]They have gone much too far to the left. This isn't the party of JFK, or even Bill Clinton.[CHAR(10)][CHAR(10)]Their border policy is horrendous.[CHAR(10)][CHAR(10)]Their foreign policy is atrocious.[CHAR(10)][CHAR(10)]They are the primary reason inflation is through the roof with their out-of-control spending.
141376	They have not been doing a good job building up and preparing new candidates for future roles. They are relying on name recognition and not promoting the younger talent sufficiently.
141377	Some cultural issues related to gender, unlimited restrictions on abortion, left wing embracing of Hamas & anti-Jewish rhetoric.
141378	The Democratic party has shown they cannot be trusted to lead America Constitutionally.
141379	everything that there doing is destroying this country
141381	Helped lie us into iraq..voted for the high treason patriot act...can care less about our education system
141384	Sometimes the party seems too splintered.
141385	sometimes to diplomatic
141386	again, they philosophy on economic policy, intolerance to negotiate, forgiving student loan debt forcing retirees to pay and policy on border control.
141387	The Democratic Party appears to be underrepresented.
141388	Sometimes it acts too woke. Sometimes it goes too far with cancel culture. It needs to be more welcoming to moderates (Manchin, Tester, Casey) and center-leaning Republicans who have a hard time feeling at home in the Republican party perhaps Sens. Collins, ME and Murkowski, AK; like Gov. Kelly, KS and Sen. King, ME). I don't like that it has on occasion kowtowed to Anti-Semites when it comes to policies around Israel and the Palestinians.
141391	Literally everything single thing they stand for. Their moral issues, economic policy, dishonesty regarding elections, the news networks protecting them, censorship, etc.
141392	they represent the average person
141396	All the bickering back and forth
141398	they knew Joe biden was mentally/physically unfit to be the current president let alone the next president months before they finally made the decision to remove him from the ballot. the fact it took him embarrassing himself and the party on national TV for them to finally do the right thing was shameful. and just assuming democrats wanted Kamala as the replacement candidate without any voting process felt un-American
141399	They support Israel in genocide.
141400	they lie and don’t keep their promises
141401	spineless worthless liars
141402	they need to fight a little harder sometimes. they are too laxed.
141403	stances on crime, immigration, abortion, and socialism
141404	Horrible policy
141405	I have lived under socialism and Democrat party is heading more and more in that direction. I do not like the woke culture and the cancel culture. [CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]
141407	The open border policy is terrible. Millions of illegals that they let come here that we don't know who they are, and this current administration is giving them free housing, free healthcare, free meals and debit cards. They put us last
141410	They hate our constitution. They hate freedom, liberty, and justice. They have ruined our schools. The scores are embarrassing. We have spent a ridiculous amount of money for each student and get nothing in return. They need to stick with reading, writing, English, math. It is up to the parents to teach about sex. They treat parents like the enemy and act as if the government owns their children. It is evil. It is bizarre.
141411	socialist agenda
141414	finance. This nation will lose its shirt to the Chinese"
141415	Forced Biden to step aside
141417	The lack of younger politicians almost created a crisis in this critical election.
141419	soft on crime , want to kill babies. open border.
141421	their lack of fight for abortion policy
141423	religious beliefs
141425	they could have more trust in each other to better this country
141426	abortion, illegal immigrants, corrupt, wnat to control the people
141427	They seem to undermine themselves by internal bickering at times, they need to be more proactive on the wage inequality, they need to move further on fixing our national infrastructure.
141428	extreme about issues
141430	left wing policies
141431	I believe that we should reward hard working Americans. I do not believe that any able bodied American should be allowed government handouts
141432	They support the killing of unborn babies. They seem to put ahead the human rights of illegal immigrants ahead of the human rights of American citizens. Their green policies are not always green and by not using our natural resources they are killing our economy.
141435	immigration policy, woke agenda, laundering money through Ukraine war
141438	the open boarders
