V240001	V241110 - PRE: What is it that R likes about Democratic Presidential candidate [text]
141043	Harris appears to be moderate.
141046	good relations with the people, trying to unite instead of divide[CHAR(10)]
141047	Strong leader, will protect our democracy
141049	she is a democrat and has done a great job with Biden since they have been in office[CHAR(10)]I am looking forward to a new generation of leaders in office starting with her
141053	She wants to preserve rights for women, eliminate college debt, and make life better for middle and lower class citizens.
141054	she is a very positive person. I like her honesty, she doesn't lie about everything.
141055	she's not Donald Trump, supports LGBT and women's rights, and is not 80
141058	From what I have seen and read recently she is an intelligent, thoughtful, reliable person.
141060	Not Donald Trump, chance to have a female president
141061	Kamala Harris understands the US Constitution and wants to defend it. Her policies, especially abortion rights and sensible gun control, are extremely important to me. I believe she would be the best possible candidate in this presidential election.
141063	She is qualified for the position and I support her policies.
141064	She seems like a capable politician, which is something that is not as common anymore.
141068	I wholeheartedly think this country needs a dramatic change! I think having a woman president just might wake up a lot of people. I realize that she would be the first woman to hold the position of President of the United States, but I think she could handle the stress and accomplish plenty!
141070	she is intelligent smart and wise.[CHAR(10)]and is all for the people.
141071	She is everything trump is not; honest, caring, hardworking, pro choice, pro environment, understanding of the issues, not a felon …
141076	She's a Democrat, a woman, served as vice president, is smart, experienced and optimistic, has sensible policies.
141080	I trust her on foreign policy. I think she’s a good person. I’m excited to see a woman of color as president, although I wouldn’t vote primarily on this (policy first.)
141081	I watched a video about her supporting black people. She is a woman and she has black origins. She is supported by Barack Obama.
141086	Stronger democratic candidate than Biden; diversity: female & person of color; moderate political stance; former prosecutor; younger than octogenarian
141090	She wasn't trusted by her party to really handle anything while Vice President so it makes me feel like they went with her due to lack of time to get a real candidate
141091	She’s a woman in the minority group who’s achieved everything she needs to face the opposition.
141094	She isn't bogged down by conspiracy theories. She knows what the job is called to do.
141096	she's not an idiot. she's a woman, a democrat and all incomes tend to flourish better under a Democratic Party
141098	She is the leader of the party the seeks to preserve democracy.
141099	She is young, she is a woman, she is more moderate as a Democrat. I like her choice of VP.
141100	Reproductive rights, character
141101	getting the extremely wealthy to pay their fair share of taxes
141103	different ideas good attitude
141106	She is not Donald Trump
141108	Her position on crime as a former prosecutor, and her stance on women's rights.
141109	strong leadership
141113	She is not Donald Trump.
141118	overall she seems to be a better choice than Trump Biden endorsed her because she is a female
141120	I like her direction that she trying to do for the American people
141124	Women's rights. First time homeowner assistance. Not Donald Trump
141135	She is not Trump.
141136	not trump, really both partys are the same wiht a different fac,e they are all in the pockets of isreal and coporations.
141140	I don't know much about Kamala Harris, however the democratic party has chosen her to be the candidate and that means alot to me. Primarily I am happy that Biden is no longer running. At this point Kamala is much better than Trump.
141141	progressive position
141143	to keep Donald Trump from becoming president again!
141144	Political and law experience.
141145	Don't want Trump again!!
141146	Experienced[CHAR(10)]Politically savvy[CHAR(10)]Aware of issues[CHAR(10)]Conscientious[CHAR(10)]Competent[CHAR(10)]Educated[CHAR(10)][CHAR(10)]
141147	Her prior public service. Currently the Vice President. Her more upbeat attitude and demeanor. Her public speaking ability.
141148	She is a better person than the Clown running against her. 🤡
141150	Women's rights to make choices about their own bodies.
141152	Younger, energetic, is not far right-wing
141153	She has done a good job as Vice President and I like what she stands for
141156	I like her economic policies and I back the same social policies. A pro-choice stance is extremely important to me.
141158	Kamala is a strong leader, an extremely experienced politician with the desire to continue and build on the policies and successes of the Biden administration. She has the capability to represent the U.S. well on the world stage, and has already shown a willingness to reach across the aisle to make coalitions, and lessen the polarization in our nation's politics. What's not to like?
141164	caring about the people who are in student debt
141166	Harris is the best candidate for now.
141167	she isn’t Donald Trump
141168	She is not Donald Trump
141175	She is not Donald Trump.
141178	Her experience, communication skills and what appears to be (I hope) a willingness to work with others.
141179	her actions in the past indicate she cares about people
141180	she is NOT Donald Trump.
141184	she is VP now and the country is a mess
141186	She is the new hope for America and also not Donald Trump.
141189	femaledont really prefer women in office
141190	She is for the 99 present of the people that need her. She is of good character and stands up for the rights of all Americans and our rights to choose.
141192	She’s a women whose policies I support.
141193	Represents a diverse group of interests.
141195	policies on abortion (pro-choice), position on presidential immunity (no one above the law) / climate change and against expansion of presidential power; female; minority
141196	I was a registered Republican before DjT came into office. I would've voted for him in 2016, if I had not been ill. However, since 2016 there is nothing about DJT that represents the party I am used to know. So, what i like a Harris is that she is not DJT. I can live with bad policies but we must have our democracy and constitution.
141197	Truthfulness. Honesty
141198	BECAUSE SHE ISN'T TRUMP
141207	Her policies and her track record.
141208	She appears to be well qualified to hold the office of President.
141212	pro choice, pro people
141214	The platform that she runs on looking out for the Middle Class and working parents who need help with daycare,and being able to better their education by at least getting an associate degree.
141215	She cares about people and is a good listener
141216	She's positive and has great ideas & plans for our country's future.
141220	women’s rights, birth control
141222	Rights of women!
141226	she if for abortion laws being up to the woman
141228	Not an angry old guy who has a lot of baggage and an unpleasant personality. She's also not a serial liar.
141229	Smart, capable, focused on things people care about
141230	She's aggressive, smart and on the correct side of the issues that matter to me.
141234	Protections for marginalized populations
141236	She would care about the average person.
141237	She's not Donald Trump or Joe Biden.
141238	Her political views are more in alignment with that of my own.
141240	She is not Donald Trump
141246	She is a professional. She understands and respects the rule of law. She does not want to take over the government like Trump, but instead understands how the three divisions of our democracy work together to make our government work.
141249	positive, female, progressive platform
141250	Her platform is more my preference for where I want to see the country go.
141251	abortion rights
141252	views on women reproductive rights is a huge bonus!
141253	She is very educated.
141257	I do not want Donald Trump. Another Trump presidency terrifies me.
141258	She is highly educated, enthusiastic, caring, and she tells the truth.
141261	Educated and for the people
141262	good policy to help the middle class and reasonable tax & regulation of big business.
141265	First and foremost, she’s not Trump. I would have voted Biden, but Kamela’s better.[CHAR(10)]I had the pleasure to watch her DNC acceptance speech only last night. The scope was vast, her delivery eloquent and sincere. This lady is deep. [CHAR(10)]Harris scarcely used the pronoun “I”, it was always we and us. I feel comfortable with her as caretaker of our democracy.
141266	I believe she is a progressive insofar as her root beliefs are concerned.
141267	She is not Donald Trump, she will support climate action, she is more likely to balance the budget, she is likely to craft policies that will support the middle class, she is likely to uphold American values abroad.
141268	Her integrity, her upbringing, her Howard education, her prosecutorial career, her experience as an attorney general, her Senate experience, her Vice Presidential experience
141274	She is not Donald Trump.
141275	Donald Trump , has not should leadership values , has not given me a reason to support his campaign, i believe he not transparent , not truthful, along with the people he represent, how can you take back laws and change the constitution. IF YOU REPEAL one , you repeal all meaning nothing you created existed..
141277	Not Trump. I don't care who is presedent as long as its not Trump, MGT, DeSantis, or Ted Cruz.
141278	Lowering costs and inflation to pre-pandemic costs.
141281	building the middleclass
141286	She is highly intelligent, experienced, cares about all Americans and will restore women’s reproductive rights and protect them for the future. she will also restore our reputation and the confidence other nations have about the United States.
141288	Younger than Trump. More reliable to develop new foreign policy. Hopefully fresh start for our government in combating inflation. So many changes needed that her enthusiasm hopefully will accomplish. [CHAR(10)][CHAR(10)]
141290	she will be good for the country
141295	She is a moderate who will work through comprise within her party and the opposition to do what is best for the country. Her campaigns vision is that of hope and inspiration. She truly believes and supports the American dream and our democratic principles. She can put her personal aside to support the greater good.
141296	She doesn't make sense when she talks. She talks in circles. No leader from other countries will respect her.
141298	 she’s honest and for the people
141300	Intelligence, integrity, progressive. Wants to preserve democracy, not destroy it.
141301	To vote against Donald Trump
141305	Intelligence, honesty and education
141306	Experience and temperament
141311	Her strong stance on Women's rights. Her compassion for the middle class, less fortunate, and senior citizens.
141312	She tells the truth!
141316	The morals & values she upholds as a politician
141317	Protecting abortion rights, protecting medicare and social security, protecting women and POC rights, is actually a reasonable age, increase taxes for the super wealthy, tighter gun restrictions i.e. background checks + waiting periods, actually believes in climate change
141323	woman, black, policies and voting history.
141324	Honestly, I would vote for a rock before I would vote for Trump. That said, Harris is young, energetic, forward thinking, smart, cares about average people and the environment, and in particular about our institutions and the law.
141325	New perspective and younger
141327	she will be fair to all Americans including the LGBT community of which my daughter is part of. she isn't trying to take away women's rights
141331	I just don’t like what she stands for
141333	she is human. She is kind, she seems happy and level headed, she believes in equality for all and truly wants to help our country.
141334	I think she is qualified and would be better for the country.
141338	Her background, knowledge and how she presents herself. It helps that she is a woman, but I wouldn't vote for a Rep women, just because she is a female. She does not change her items and beliefs just because it is popular.
141340	She's smart, open to change, and not an old white man.
141341	She comes across as capable, truthful, and I know she has worked hard to become our VP. I also agree with the Democratic party’s position on investing in technology for a sustainable future.
141342	I'd like to see her take charge the big issues border the war in Ukraine the war in the Middle East and put American money where it needs to be in America
141343	educated, fair, great speaker, thoughtful
141344	abortion rights
141347	I believe she is for the people
141348	She is not Donald Trump
141349	give me a dropsdown
141352	Right to control my own body[CHAR(10)]Unions[CHAR(10)]Economy[CHAR(10)]border
141354	She cares about a good education for all kids and socioeconomic levels. I appreciate her drive.
141356	I think she is a good thinker, honets and sincere
141357	she cares about minorities and the state of the nation
141358	She’s a younger candidate also a woman.
141367	Kamala is very positive and it’s exciting to see a new face, younger person, especially a female. this is a very exciting time for the people of the United States and I look forward to her being the President.
141368	I believe she has true and well developed plans on how to move this country forward. she is an educated woman of color who has earned her success in life.
141373	She has a strong strength of character, & she is a woman.
141374	inclusive policies, will protect women's rights and reproductive freedoms, positive rhetoric, relatable, female, educated, accomplished, experienced, well spoken, younger
141376	She has a reasonable stance on Marijuana.
141377	Policies that help Middle Class, respects democracy, responsible tax policies, etc.
141380	She is NOT D. Trump. I agree with most of her positions and proposed polices.
141384	She will save our democracy and constitution.
141385	her genuine concern for people
141387	No nonsense. Her track record. Nickname Lady Justice.
141388	I agree with her positions (on medical care, women's choice, housing, immigration, etc.) and I like who she is (respectful, cares about people, smart, diverse, etc.) and she is the best candidate running.
141395	she is liberal. she will make decisions that benefit most Americans. I believe that she will not continue to support Israel in the way that it has been in the war against Gaza.
141397	Energy, integrity and platform.
141400	She cares about the people. She comes from a regular family. She has morals and values that lines up with who I am and who I want representing me. She’s mentally strong, physically healthily and emotionally balanced. She obeys the law. She is professional and respects America and the values we hold dear.
141402	she is smart, yound presidential candidate. I'm tired of the dinosaurs. She has experience.
141408	dem
141413	she is a breath of fresh air for all Americans and the Democratic Party.
141415	Well qualified to be President, former senator, vice president, continue the legacy of President Biden, pro women’s rights, pro labor, pro veterans, for sure will not cut social security, will expand affordable care act.
141417	Decency, and her record as vice-president under Biden's presidency. I am committed to voting for a brilliant person who will continue Joe Biden's legacy. Under her leadership, America will stay a democracy. Donald Trump is the biggest disgrace in this country.
141418	That she is the opposite of Donald Trump. I believe she will protect or freedoms from the current attacks from the Ultra right. We need women's bodily autonomy restored.
141421	she seems leveled headed and fit for the job.
141425	she has plans to help the middle class and plans to go after the rich for their fair share of taxes, she has plans to help small buissenes
141427	She's been a prosecutor and knows our laws, she's a very good interrogator as exemplified by her questioning in Senate hearings, she seems compassionate, she wants to improve working family lives, she seems to be a good judge of character by her VP pick, she's able to learn, grow and change her mind when the facts become known or change.
141428	She is not Donald Trump
141429	She seems to care about women’s reproductive rights. She also seems to have ideas on making housing more affordable for middle class families.
141431	moral compass. intellect
141433	intelligent, logical, patriotic, empathetic, warm, hard-working
141434	She isnt Donald Trump, and not a threat to women's rights.
141436	She is a democrat and especially a woman.
141437	She doesn’t seem to bad-mouth Trump.
141440	women’s access to health care[CHAR(10)]women’s rights[CHAR(10)]human rights[CHAR(10)]not letting America fall into a capitalist dictatorship (though economically we are already there)
141444	She is a prosecutor and can stand her own against Trump's sometimes exaggerated statements. She seems like a genuine person who might actually help the middle class but I wonder why she hasn't done it since she's been Vice President. I hope she doesn't follow some of Biden's policies and branches out on her own.
141448	Kamala Harris has come a long way in the last three and a half years as vice president. She’s of sound mind and makes sense and speaks on topics that concern all Americans. [CHAR(10)]Donald Trump is insane! Donald Trump in sighted a coup on January 6 and also left the White House without a peaceful transfer of power. Donald Trump isn’t fit to run an ice cream stand.
141451	more in line with my values, more trustworthy and honest, picked great person to run with her as VO (Walz)
141455	she’s not trump
141461	I think she is the adult in the room and I would feel comfortable having her in the oval office.
141465	right policies honesty integrity respect experience intelligence
141467	protection of reproductive rights, stable, smart, will do her best for the country
141469	Female reproductive rights!
141471	Tough on crime.
141472	[CHAR(10)]pro student loan forgiveness [CHAR(10)]pro abortion rights, roe v wade[CHAR(10)]pro using our taxes to help the less fortunate [CHAR(10)]VP choice seems promising[CHAR(10)]would likely support who they elect to Supreme Court [CHAR(10)]not adding religion into politics more than it already is
141475	It's time for a woman in the oval office! Generally speaking, I believe women make better political leaders.
141479	Endorsed Pres Biden' s policies which I don't like.
141482	I like some of her financial policy ideas. and I think that she gives us the best path forward as far as a reasonable border deal
141488	She is trustworthy and capable and I agree with the platform.
141489	I am in favor of the Democratic policies-women’s rights, infrastructure, forgiving student loans, rights for LBGTQ+ community.
141491	Most importantly, she isn't Donald Trump. She has a strong energy that can revitalize the Democratic Party and this nation. I think she is smart and honorable. While she wouldn't necessarily have been my first choice, she is growing on me in the last week. I think she will continue to learn on the job and surround herself with strong cabinet members. I would also love to finally see a woman as President.
141496	she is not Donald Trump her is a horror show
141497	To my knowlege she hasn't had lawsuits against her or convicted of Federal crimes...she tells the facts and knows her job as Vice President[CHAR(10)]
141501	more in tune with the social challenges of our country. less extreme policies
141502	She is NOT Donald Trump
141503	She's not Trump
141504	She has represented and defended people who have been abused, whether physically or by systemic problems. She has a background in law and has had a successful term as Vice President.
141506	Democratic values - support for families, childcare, and education
141507	good experience [CHAR(10)]believes in democracy[CHAR(10)]believes in woman's rights
141509	Best chance of beating Trump. Also mixes intelligence with compassion, is anti-crime, for taxing the richest, for fighting climate change. Would be 1st woman president.
141510	I don't think she has the quality, the stuff, the IT to be the leader of this country. US Presidency is not a social club where you socialize and laugh your way in/out.
141511	she is a fraud and never even got selected by her party. she is in my default and is incompetent to run this country. She is too worried about trans acceptance and not enough about keeping our border safe
141513	women’s right to choose, the Supreme Court, continuation of democratic policies domestically and abroad, tax credits for working people, expansion of NATO support for Ukraine
141516	HABLA EN SUS CAMPAÑAS DE PROTEGER A LOS DREAMERS.
141518	I dont want trump to come back into Power
141519	The democratic party is more in tune to where I would like to see the country go for my child, his generation and future generations. I think she is more in line with my beliefs in where the country should go.
141521	She is a better choice than Biden would have been.
141524	She is good at what she does and has conviction
141526	her honesty and her ability to govern.
141527	Honest, very intelligent, not a crook
141530	Donald Trump is a criminal who tried to overthrow the government and is a threat to democracy.
141533	She is not Donald Trump. She is experienced and seems like a reasonable, moderate politician.
141536	Her stand on women's rights
141538	the issues
141539	she is intelligent former prosecutor and seems to favor the common folks
141541	she's not trump.
141542	A new and fresh perspective along with historical significance of first woman to be president.
141545	I care about my democracy and woman’s rights to choose.
141547	EVERYTHING! She’s pro people of all races,creed’s and Religions. She stands for morals and freedom for all! Continuation of President Joe Bidens agenda. Abort Project 2025!!! Save Democracy!!! that’s why.
141553	She has been in politics for years, and I think she’s honest.
141554	A vote for Kamala Harris is not just a vote against Donald Trump, but a vote for someone that I see true good in.[CHAR(10)]Kamala is a solid human, a good politician, and someone that I can identify with. She likes jazz. She seems to care about the people of the United States and has receipts in her record as an attorney. As Biden has done good for the poor and middle class, I believe she will continue doing so. I have faith in her as a politician and as a person.
141557	Her honesty and kindness.
141558	Kamala Harris has integrity. She cares about her fellow man. As a prosecutor, she stood on the side of law and order, defended victims of all kind, and represented the American people. She stands for freedom of choice when it comes to abortion, supports common sense gun control laws, and will strengthen Social Security/Medicare. She will fight for and cut taxes for the middle class.
141560	I haven’t listened to her but she is supported by the democrats so I will vote for her.
141568	she's a woman in office
141572	clear economic policies
141574	Commitment to empowering lower and middle class, protecting women’s rights, strong speaking skills. Prosecutor background suggests will have strong negotiating skills.
141576	she is smart, she is an accomplished woman. she is not Donald trump.
141578	Woman, women’s rights , middle class help , climate
141581	Youth and not crazy.
141583	Se mira una persona que sabe de política y podría hacer buen papel como presidente
141584	I prefer Vice President Kamala Harris over Trump any day, but I like how she talks about the issues that the American people have issues with.
141585	Her views on women’s rights, protecting the environment and education. her compassion towards all people and her strong desire to make the country better for everyone
141588	She is elegant, measured, and fairly poised
141589	female, strong, experience, integrity
141591	Somewhat too progressive in her view points and plans for the country.
141594	Women's rights, stability, background, fresh candidate
141595	shes for the people[CHAR(10)]
141601	she is female. she has experience as the vice president. she is younger than Biden and Trump. she is smart and tough on criminals. she will use her knowledge of the law to show the American people that Trump is not fit to be president.
141604	Her experience, abilities and good communication skills
141605	She is a woman and believes that the middle class needs breaks not the rich.
141607	She is useless, her performance is non existent and I do not trust her.
141608	economy. and lower the prices of drugs
141610	Change in her economic policies, change in her immigration policies.
141611	she is charismatic, relatable, and genuinely appears to care about doing what is best for the world.
141616	qualified, smart, good leader
141618	She is a person who cares about democracy and about trying to unite this country. She will attempt to fix some of our internal issues and keep us in step with our allies.
141619	In favor Affordable Care Act , Maintaining Social security, against Book Bans and Body Autonomy
141620	I think she has a good record as VP and can beat Trump. And I'm excited to vote for the first female president (again).
141623	joyful positive plans to improve life for all countrymen
141626	I think she’ll work harder at improving the conditions of the poor and working class people of America
141628	Seasoned Prosecutor, legislator; A serious, real person, who grew up in and lives in the real world.
141634	We need a woman to run this country
141636	support for lgbtq rights, she’s normal, she’s not cruel to immigrants. supports human rights.
141639	she isn’t going to summon a mob to perform a coup if she loses
141644	rights of people
141647	A smart, highly capable woman. Really no other choice
141649	She is not Trump
141651	 Mrs. Harris has all the qualities that I want in a US president: she is wants everyone to be treated equally and fair, she is a down to earth human being, she is not self conceit, has a pleasant personality, seems to be very honest and means what she says and is young and can lead the country for 8 years. She is the one that can lead us back to what America used to be, a prosperous nation. I am for KAMALA and TIM.
141657	The new face of the Democratic Party. Young and smart candidate.
141660	she's not a Republican and I like her experience and personally
141661	young. intelligent. Joyful. honest.
141664	her heart led doings to help more JUSTICE FOR MOST CITIZENS
141665	she gives you hope for the future
141667	Honest and is for the people.
141672	She is honest
141674	she supports civil rights and is a rational adult
141675	Her whole career is based on The Rule of Law and government service. She understands the government and that it is of the people, by the people, and for the people.
141677	she is young she is the vice president, she is democratic
141680	she will be good for the country
141682	an attorney former prosecutor honest has some good policy. trying to bring back the middle class
141686	I'm a Republican and don't want to let Democrats continue taxing us more.
141687	She defends the rule of law. She is a balanced progressive who wants every citizen to have the opportunities for a good job and health insurance that includes pre existing conditions. She supports education, access to child care and reproductive rights. She supports environmental objectives to limit greenhouse gases, and assure clean water and air. She has had a background of prosecuting abuses of big business and those with great power to bend government policy in their favor at the expense of average Americans.
141688	She seems to be relatable and genuinely interested in the lower class people.
141696	values a inclusive, diverse country; women's rights, care for the environment, voting rights, rights of Palestinians[CHAR(10)]
141701	She knows what she wants to do with herself.
141702	the men have had their shots ..let a women try I say. they can't mess it up any more than the men did right?
141705	I feel she definitely is for the working class citizens and truly understands the problems faced by most Americans.
141708	her whole platform
141710	Abortion rights for women, She will bring a stable, consistent political environment.
141712	Her policy positions on abortion, foreign policy, education, environment, and governmental social support programs.
141718	Help middle class citizens
141723	She isn't Donald Trump
141724	She is fair and I'd rather have her represent the US than Trump.
141725	She represents the interests of Americans and not her own self interests. The Democratic party fights for social and environmental issues as opposed to Republicans.
141727	to keep Trump out of office
141728	She is a woman running and very intelligent.
141732	Time for a woman who is younger and more progressive.
141733	pro democracy. anybody but trump
141736	immigration[CHAR(10)]crime [CHAR(10)]inflation
141740	its about history for me to have and be apart of sectioning the first woman and a black woman at that to be the leader of are country
141742	Pienso que ella no es racista. Como trump.
141744	She's not Donald Trump.
141745	She seems like an intelligent person, warmhearted and professional.
141747	She isn't Donald Trump.
141748	she`s not trump
141750	He views align with mine. She is not Trump.
141751	She is not Donald Trump.
141753	experienced, smart, worldly, compassionate
141755	a positive outlook
141756	She has outstanding character and total empathy, especially for the middle and lower economic classes.
141757	political views align with my own
141758	She is not Donald Trump.
141759	Her stance on abortion and human rights
141760	Her record in California, her support for minorities and LGBTQ, and the fact that she herself is a minority and a woman.
141761	Kamala Harris is young, intelligent, ethical, well versed in government and hopefully will bring those qualities to governance.
141763	It would be awesome to finally have a female president. I'm looking forward to seeing how she differentiates herself from her predecessors.
141766	Intelligent, thoughtful, caring and down-right Presidential. She will not abuse power, understands norms, and the rule of law.
141767	She is not Donald Trump.
141769	She is not Donald Trump.
141770	Honesty, Integrity, Intelligence, Fairness,
141772	She appears to be someone who will take the welfare of the American people into consideration when making decisions.
141773	agreement with policies and expresses to be a generally good person, according to my views
141777	age,positive attitude and shes not Donald Trump
141778	First woman president. I appreciate that she isn't in or above her 70's. Her policy positions are a bit more left than I would like, but overall she's aiming in the right direction for me policy-wise.
141780	She is not Presidential at all She hid Bidens medical condition to everyone
141782	True person not too fake.
141783	puedo creer más en ella
141785	Most likely candidate to win against Trump. General support for increasing access to healthcare and supporting women's reproductive rights.
141788	She will keep Donald Trump out of the White House. She is a Democrat and I agree with the Democrate principles. She is smart and has experience as VP. She will work to get Roe V. Wade back as the law by appointing liberal justices if an opening arises.
141789	she seems to be for everybody. she seems nice. trump seems to be a spoiled, whiney, lying child. NO. I don't like him.
141790	She appears to be level headed and I believe she will get some things done good for the country.
141792	She has vast experience on many levels of government. I like that she is a well-educated and can be forceful when needed. We need a woman in the white house and I appreciate that she is not white. She would have a different perspective than from our usual old white men who become presidents. This is much needed in our country right now.
141794	Although I lean right on most issues, the left leaning candidate always get considerations for issues related to environmental health.
141799	she is progressive, diverse, and a female
141803	Intelligent and will surround herself with bright reasonable advisors
141806	Her experience, especially as VP for Biden, she is respected on the global stage, her joy and compassion.
141807	ke no es tan rika como el otro y no kiere aderde rika más eso es lo ke pienso yo
141808	Women's rights, Student loan forgiveness, tax policies, foreign affairs, geo politics with wars in Ukraine and Gaza, Immigration, etc.
141810	I would vote for her because she supports universal healthcare.
141812	strong good leader of good character and good values. nothing she stands for is super extreme when i really listened to her in the debates and following her.
141814	that.
141815	democratuaw
141820	she’s a woman with intelligence
141821	honesty, integrity, carry on Biden's agenda.
141822	she will fix women's right to choose
141823	She seems very capable and I trust that she would have American's interests at heart and work for the country.
141824	Her age-seems more vibrant.
141825	She is not Biden or Trump
141826	i agree with many, not all, of her political proposals. She's though yet not willing to get into a nasty campaign.
141828	Lowering healthcare cost[CHAR(10)]housing market[CHAR(10)]wages
141836	Honest, trustworthy, qualified, experience on the state and federal level, progressive policies and platform, defense of reproductive rights, a woman, surrounds herself with smart, honest people, can leverage the team Biden put together to ensure a smooth transition and continuation of policies, initiatives, and Supreme Court constraints, term limits for all (who has a job for life?), a woman, prosecutorial background, does not suffer fools, fierce, smart, and savvy.
141838	Her stance on Gaza and Project 2025, policies that will help the middle class, her plans to tackle inflation and illegal immigration
141840	womens rights and abortion
141843	women's access to healthcare...continue to support NATO..continued support for Ukraine...stay with climate issues
141846	Defeat Trump. Former prosecutor
141849	female and not trump
141852	She has energize the party and what she says, I believe she has a plan that can unite us all.
141853	She seems to care for all of the various groups and issues. She follows the rule of law. She appears to be kind hearted.
141854	Many reasons… reproductive rights, healthcare justice, student debt cancellation, rent caps, tax cuts, climate change efforts, gun law reform, support for the middle class, etc.
141855	young, well-spoken, not crazy
141861	LGBTQ stances, healthcare, education, hope for the middle east
141869	She is my only choice
141870	Better leadership qualities in how she conducts herself and sounds better educated in responses when speaking.
141871	Her experience and knowledge in U.S government and wanting to see a first woman president.
141872	She is female. She seems more emotionally well than her opponent.
141873	She's not Donald Trump!
141877	She would be the first woman president and also Trump would NOT be president
141882	She is a champion of the middle class.
141885	strong woman. been in government positions
141886	She is a skilled politician.
141890	gives the air to be a good speaker and leader
141891	economic policy
141893	Her track record as a prosecutor. senator and vice president have impressed me of her capability to run our Country.
141894	Aside from not being Trump, she's an accomplished attorney who appears to hold values that I agree with.
141895	A woman and a person of color . She is likely to help the environment. And more likely to vote in favor of social entitlements
141903	A fresh genuine youthful person with an honest character.
141906	Strong leadership qualities, approachable, intelligent, not racists, positive outlook
141907	she’s not Donald Trump
141915	she seems genuinely nice and cates for the people.
141916	Woman, younger, legal and political experience
141918	She comes across as a strong, genuine candidate who is truthful and seems to want the best for the nation and its people.
141919	I like her up-beat message instead of the hate.
141920	She is a well rounded mentally competent woman who actually cares about the US
141924	she shares my views on social issues, especially a woman’s right to choose. [CHAR(10)]she isn’t Donald Trump.
141928	SK
141929	I like they way she is answering the reporters questions on a number of topics... Right to choose, immigration and she is going to be President of all American's, not just the people who vote for her.
141931	que no tengo otra opción mejor
141932	The work she did before becoming vice president in California
141933	Background as former prosecutor, mentored by Joe Biden, pro-choice, Ukraine assistance, unique perspective as first female president, stance against companies inflating prices to post record earnings
141934	She is a good orator and gives me the feeling that my vote counts for improving our country.
141939	Honesty and her treatment of people as humans. I believe in her platform.
141942	She has experience in politics, I agree with her vision for America. I believe we will do well with a female leading us.
141946	Youth, energy, background as a prosecutor.
141949	she opposes Trump! she and we will be fine for America.
141950	her values, principles, policies and I feel she is the only candidate who could unite our country instead of Trump further dividing.
141952	Harris is strong on a lot of progressive issues, and I trust her to continue the work that the Biden administration has begun to address climate change, helping working families, going after big businesses, and supporting important social issues like the right to choose and LGBTQ rights.
141953	The fact that she an articulate her policies and plans.
141954	Dedication to abortion rights, women's rights, common sense gun legislation. Also, she is not Donald Trump.
141955	she is a very capable woman
141959	womans reproductive rights
141965	Economy, women's rights, border security, immigration. Keep Donald trump from the presidency who is not for the middle class.
141970	She is a lot more respectful in the manner she speaks
141971	better candidate
141972	she is making sure that female have control over their own bodies.
141975	protection of women's reproductive rights, advocating a strong middle class and over all positive attitude
141976	I'm hoping she will help codify Row v Wade, or at least push Congress to do so, her tax plan, he stance on immigration, she has far more experience in all 3 branches of government than DJT, her record as a prosecutor, her ability to shut down bullies and how that will hopefully extend to how she deals with Putin, that she's wanting to change how the USA is dealing with Israel, and how she's been handling the federal response to Helene and Milton.
141977	She is extremely qualified, intelligent, and well-spoken. I like her views on abortion and women’s health. It would be incredible to have our first female president.
141981	she's smart, she's a lawyer/prosecutor, she's familiar with democracy, she is supportive of women's rights, LGBTQ+ rights, she seems to be a great supporter of human rights... she seems to be fairly transparent and honest
141982	She is for the working class people. We do not want to go backwards with womans rights. She is for the people not just herself.
141983	That she will protect my rights as a woman and get our country out of the mess Trump got us in.
141984	She is younger, has a lot of experience and can form a coherent sentence.
141989	Women's rights / health and against Trump
141993	She is intelligent, honest, hardworking and I share her views on many points.
141997	intellegence, principles, Democratic platform
142002	has an optimistic outlook
142003	I think and hope she's going to be for all the people in our country as a 1 income family I value what she's said about helping us and my daughters rights.
142011	She is clearly more qualified than her opponents.
142013	Her last name is not Trump. She's a democrat. She's the best of two choices.
142014	Harris is experienced and knowledgeable across multiple political areas.[CHAR(10)] As a prosecutor she understands the criminal justice system's specific needs for reform. [CHAR(10)]As a Vice President she understands the important issues facing us: the Economy, Women's reproductive rights, immigration reform, medicare and health care access for all, equal rights and most importantly, bringing diverse peoples together to help mitigate our political divide. Kamala Harris is focused on the FUTURE!
142016	She is our best hope for defeating Trump which I believe is very important.
142020	Her stance on a woman’s man’s right to choose regarding her healthcare, specifically a right to abortion of a pregnancy.
142021	fresh new ideas
142027	may bring a new outlook to our country
142028	She is running against Donald Trump. Her policies are aligned with mine, especially on abortion, immigration, access to healthcare. I also appreciate that she is a woman.
142031	Less likely to do a coup or eliminate civil rights
142038	the economy what she will do for the economy
142043	progressive policies toward health care and reproductive health
142044	She is intelligent and multicultural
142046	she's not Trump is the biggest reason. But she seems very level headed and smart
142048	embraces a larger demographic of voters specially woman.
142049	Believes and plans to continue working to solve climate change[CHAR(10)]Won't appoint corrupt people to offices[CHAR(10)]
142050	She is not Donald Trump.
142053	Strong woman with good values and is for the American people
142059	She is a better leader than Donald Trump. She is a better bet in terms of keeping the tenets of US democracy in place and keeping the people of the US safe.
142061	For one, compared to the previous geriatric options, she inspires more confidence in her competency.
142062	I trust her. Reproductive rights, economics, immigration policies
