V240001	V241176 - PRE: What does R dislike about the Republican party [text]
141405	that they cannot get on the same page, do not like total abortion ban.
141406	they don't seem to stick together on some issues.
141409	My morals do not align
141410	Low trust - there are maybe 10 I trust. Ted is one of them. I trust Marjorie G.
141411	Republicans in name only
141413	they continue to back Donald J Trump!!!!!!! I Do Not Get It!!!!
141414	They seem to have lost their vision but I believe they have a better track record when it comes to international problems
141415	For themselves and the rich, do not have the courage to stand up against Trump
141416	their politics and presidential candidate, trump.
141417	The cult to Trumpism. The Republican party is so mesmerized by the power they associate with Trump that serious political engagement is no longer a reality in this country. The senators and representatives have lost their moral compass because they are afraid to stand up to Trump, except the likes of Cheney, Romney, or Kitzinger.
141418	lack of tolerance, equity, and basic anti-democratic gerrymandering and the imposition of a religious right agenda
141419	there’s a bunch of Rino’s in the party that dont like the way Trump is changing things up
141420	That they couldnt get the super rish to actually back a viable and capable candidate (Niki Haley, Ron Desantis)
141421	their propaganda for guns
141425	they mostly help there rich friends and companies that line their pockets
141427	They gotten rid of most of their moderate and effective Republican congress people, they are only for the rich and big business, they've become racist, they can't govern nor can they compromise, they want to tell everyone how to run their lives, most of their leaders are liars and traitors.
141428	against abortion
141429	same answer as previous question
141431	Absolutely no backbone to stand on moral principles
141432	How Donald Trump influences those in office when he is not even in office. How other Republican candidates were not even given a chance. I did not vote in the Republican presidential primary because my vote would not have made a difference. It was decided before I had a chance to vote.
141433	they fall in line behind trump no matter how stupid/dangerous the issue. self-serving.
141434	I think the Republican party is a threat to equal rights ,affordable education, and they like to push religion
141436	They only think about themselves and how to make the rich man richer.
141437	Rude, arrogant, liars, cheaters
141440	As a history bachelors holder who has studied US history from the 1950s until now, this is an extremely divisive push over the last 20 years for the Republicans to last-ditch-effort take over the US government. It is extremely wild to me that the Republicans have been able to trick poor working class Americans into thinking the 1% of the wealthiest people in the US have the same interest and goals as the bottom 50-80%. The fact that they tout at the same time that the government should stay out of peoples lives while passing bills directly trying to control peoples lives, and their freedoms is not only baffling, but is absolutely un American and should be prosecuted at the highest level of court. Unfortunately, the Republicans of stacked the Supreme Court, which historically was not even supposed to hold the insane power that it does today in our lives. the lifetime that Supreme Court Justice hold was supposed to make them impartial, but it has created a situation where people will take bribes and vote the way the money tells them to. We essentially don’t live in a democratic Republic, but in a capitalist regime.
141442	Their far-right opinions. Their favor of limiting a woman's right to abortion.
141443	the seem to have no teeth. the dems aren’t afraid to go after the gop with Any means necessary and the right never retaliates or even stand their ground most of the time. they seem weak
141444	They want to provide hand-outs to everyone, whether you are legal or not. They don't encourage people to work and better themselves.
141445	trump is a nut job, cant believe he is our candidate
141446	They lie just to get elected and haven't done anything for this country but make it worst. Chinese laws to protect them. No law was put in order to protect black people from Racism and police brutality also immigrants crossing out border killing and rapping our kids. that's not cool
141448	Taking away a woman’s right to abortion. To many to list. Maga insanity has taken over the republicans.
141451	they are dysfunctional and most are “wedded” to Trump
141453	how they don't stick together
141455	anti abortion, no separation of church and state
141461	They abandoned their identity and became a far right populist party that scares me.
141463	they are so divided!!!
141465	dishonesty, threat to democracy, Trump is a wannabe dictator.
141466	good and bad on both sides
141467	assault on women’s reproductive rights, refusal to pass immigration bill, support of Donald Trump
141468	they fail to unify to resist democratic malfeasance
141469	The republic party feels that they have the right to ban whatever they want. Books and abortions are particularly upsetting to me. The Republican Party also supports citizens reporting citizens in these matters which essentially creates a police state and divides people. That shouldn't be allowed. The republican party's current VP pick thinks that women with children are worth more than women without, which is again completely un-American to me.
141470	SK
141471	Complete ban on abortion. Laxed gun laws. A very “reactive” attitude, though it sometimes bodes well when not rushing to changes.
141472	how intertwined it’s become with religion[CHAR(10)]reproductive rights like abortion or IVF[CHAR(10)]defunding planned parenthood [CHAR(10)]continuous bail outs for the top 1% and tax reductions for them too[CHAR(10)]
141475	closed-mindedness. bigotry, extremism, ignorance
141476	How the party is now dominated byTrump and his lies. I have no patience for election deniers.
141477	infighting....some in the party can't agree.
141482	women’s rights, in-fighting and spreading disinformation
141483	They still spend to much money on waste and fraud.
141486	They tend to not do ANYTHING
141487	the lack of Christian morals. the use of self to propagate racism, and discrimination against others. The lack of care for aiding some Americans
141488	It has become a party of hate.
141489	They blindly follow a felon, someone who orchestrated insurrection and vote against policies they had a hand in making. strange and weird. they don’t care about what people actually need.
141490	attack on women’s rights.
141491	How can an honorable party that was represented by Abraham Lincoln, Theodore Roosevelt, Dwight Eisenhower and George H.W. Bush possibly embrace Donald Trump? He should have been disavowed by the party immediately following the first impeachment and every member of the party should have spoken out against him.
141496	abortion stance, the fact they are agents of gridlock and false election statements
141497	Anyone who supports a person in or out of office who has been convicted of Federal crimes, telling stories without given facts or has on live TV supported riots in my view should not be in office ...that is not what this country is about. The focus for the USA has been blurred by one person who doesn't have a good reputation and some followed for reasons beyond me.[CHAR(10)]
141500	They are poor at standing up for we the people.
141501	less value on individual freedoms of women’s rights, lgbtq rights
141503	Against prochoice
141504	Some issues I think a more conservative approach is good, but conservative extremes don't provide advancement in issues that require changes, like healthcare and gun reform, for example. Both major parties seem to also have trouble working together to make change for the good of the people, seems like they get stuck in party lines.
141506	racism[CHAR(10)]traditional values, stripping of women's rights[CHAR(10)]denial of climate change[CHAR(10)]tax breaks for wealthy and corporations
141507	authoritarian party
141508	They can’t work together to achieve anything.
141509	They spend on the rich and cut back programs that help the common people. They go overboard banning abortions even where it makes medical sense. They contracted to build a border fence with their buddy Haliburton, and what fencing there is had already rusted, falling down. Typical old-boys networking, funding projects that benefit companies who contribute to their PACs, and blocking any effort to clean up government corruption. Trump is cruel and heartless to common folk, a neo-Nazi.
141510	their stubbornness about gun control
141513	they are sheep for trump, they lost their souls… they have NO POLICIES, they are just transactional functionaries of Trump
141514	Overemphasis on Trump, divisive, pro guns
141516	LA MAYORIA DE LOS POLITICOS DEL PARTIDO REPUBLICANO SON PERSONAS RACISTAS.
141517	A lot of republicans give in easily. They don't want to fight for right
141519	They are diehard Trump fans, they say they want to make the country Christian, they are pushing a hatred narrative, a divisive and sexist narrative.
141521	Almost every policy they advocate. Religious influence, no desire to change
141524	Most politicians are crooks and are only in it for more power. I don't like how they hav polarized things so much and cannot even be civil with the democratic party.
141525	Infighting.[CHAR(10)]The inability to pass legislation. It’s like each party feels they cannot reconcile with the other to get things done. Consequently, not much gets done. Sad day in America.
141526	It’s a male controlled party.
141527	They are all crooked and want to ban everything. They are no longer a party but, a cult worshipping DJT.
141529	Way to many RINOS!!!!!!!
141530	very hypoctricial party. Claim Christianity but do what’s worst for everyone. They don’t seem to want to pass things even in the best interest of their constituents, but want to stop Democrats for passing things for theirs. Pushing conspiracy theories and hatred.
141533	Race baiting politics, cult of personality around Donald Trump, many Republicans still refuse to accept the results of the 2020 election, they have odious views on women's rights and bodily autonomy, their only real policy beliefs are rolling back environmental regulations, and tax cuts for corporations and the wealthy. I also never feel fully welcome at their country clubs.
141534	spineless...need a strong leader again
141536	I'm disturbed that they have embraced Trump who I believe is a threat to the American republic
141537	Their social policies and reluctance to do anything about gun control
141539	They are more for big businesses
141540	Sometimes they carry things way too far, which is a waste [CHAR(10)]of taxpayer money.
141542	abortion, womens rights, ignorant, self centered
141545	Never telling the truth, against the average person.
141546	position on aid to isreal and labor issues
141547	seems like they are trying to overthrow our democracy! False Christians … propagating hate of “The Others “ Someone should tell them We are all exactly alike on the inside!! My family chooses Love and respect for all people.
141551	RINOs just trying to keep the paychecks coming.
141552	they are too slow to action and don’t do enough for environment, wild life, or global warming
141553	How they follow a lying, cheating, ex president.
141554	- They're taking away the reproductive rights of women, and will likely go further to more control over everyone's bodies (I'm looking at you, Clarence Thomas).[CHAR(10)]- They give tax breaks to the rich and ultra-rich, aka people who are not struggling.[CHAR(10)]- They have taken over the supreme court and manipulated it to be a strongly conservative and corrupt (again, Clarence) court.[CHAR(10)]- They force ideas of conspiracy and fear to their base constituents.[CHAR(10)]- They are unhappy people that make others unhappy.
141557	Their bigotry and conservatism.
141558	The current Republican Party for the most part focuses on fulfilling the desires of one man, Donald Trump. In that vein, they often do not honor the rule of law. They often vote to deny people rights and freedoms: right to vote, freedom of choice (re abortion), safety in schools. They try to impose Christian right beliefs on everyone (banning books, posting the Ten Commandments). They treat woman, immigrants, minorities, and liberals like second class citizens. They support wealthy and businesses at the expense of the middle class.
141560	I am a democrat always have been. republicans spend too much money.and don’t help poor people.
141562	they are all liars and deceivers
141565	They can be indecisive.
141570	extremist - liars - follows a crooked leader - run by donald trump - conspiracy theory - that lady from Az and the guy from Fl - fox news
141572	Trump and his nonsense
141574	have lost credibility - are willing to contort facts as needed, pretend to be fiscally conservative but are willing to cut taxes at the cost of deficit, alliance with abortion rights at cost of women’s rights, alliance with gun rights at cost of human rights.
141575	sometimes they are candy asses
141576	Donald trump, and all his followers. I actually considered myself a conservative until they became celebrity worshippers
141577	They don't know how to organize or get things done.
141580	Abortion policies
141581	A bunch of people out to scare Americans and are against women.
141584	The Republican party is out of touch with what's going on in the real world.
141585	aside from differing view points on key topics like women’s rights and environmental practices, their inability to put out reputable information or trust science or respect differing viewpoints of other races/beliefs/cultures.
141588	overly conservative, weak on gun control, need more moderate views on abortion
141589	corrupt
141591	Limiting freedoms in order to force their ideals and beliefs on others. While I believe we need to remember values and common sense for society, I also don’t believe pushing a narrative of hate and judgement is a way to achieve it, Nor do I think one religious belief is above another. [CHAR(10)][CHAR(10)]It scares me to think of the freedoms me, my children and all of America could lose, to think about the future Project 2025 holds.
141595	i don't like Republi
141596	inability to function as a group to accomplish the peoples wants and needs.
141599	They have one aim and that's to try to get Trump elected again regardless of all his criminal charges and insane rants and dishonest tactics at any cost.
141601	This party represents the type of white male that I don't want my boys to grow up to be like. I want them to use their words/brains to solve problems not by force/violence.
141605	They can be bullies and think it is their way or the highway and they have lost the ability to compromise or get anything done.
141606	Their inability to control the take over of the Party by people that are infatuated with a personality cult of Trump." It is hard to be a conservative and successful and not be seen as a "loser and hater" these days when you admit that you support the GOP. "
141607	They have allowed too much political persecution of Trump.
141610	Hostility seems to be increasing.
141611	their entire political approach since Reagan has been winning a team sport rather than governing in good faith; especially since Obama they sacrifice conviction for power and then do nothing but destroy programs that, by the time the effects are seen by their voters, result in blame being placed on opponents so people can vote them in next election season and allow them to do it again. I don't even know what their platform is other than to oppose what is popular and sell it as evil. they consistently support plans that when their opponents support or pass them through legislation they suddenly don't support anymore. l and then blame the opposition for ruining the plan. look at Mitch McConnell. He literally voted against a bill he helped craft just because the Democratic president at the time wanted to sign it. they have zero conviction. none. they blindly follow a man who represents the opposite of everything they pretend to and then utilize the media to sell it as persecution. I don't even know what they stand for anymore and frankly I don't think they do either.
141615	Donald Trump misusing its symbolic value for America.
141616	unkind, racist, homophobic
141618	They appear to be a pack of cowards.
141619	Following Donald Trump
141620	As a woman, I feel they are trying to take away my rights.
141622	Not as United as Dems, many people who are able bodied are too lazy to vote causing low voter turnout
141623	have made Trump cult figure
141626	they tend to work in favor of the rich and wealthy people
141627	Media and causing chaos and covering up whats going on . and the alder abuse with Joe Binden
141628	Well, Conservatives are a bunch of looney-tunes, that's for damn sure. They get further and further away from reality every day, it seems. Whole party just needs to go.
141629	drug enforcement laws being too strict
141636	used to be party of fiscal responsibility, rule of law, libertarian freedom - govt off my back. now wtf? govt in bedroom, arbitrary and capricious decisions. I miss Romney
141637	they are part of a government that is selling off their people
141638	they are turning our country into a dictatorship.
141639	complete embrace of authoritarianism over thebpast decade+, rife with misinformation and flirting with christian nationalism
141649	out for themselves
141651	The Republican Party seems to be for the rich people. I doesn't seem to [CHAR(10)]care for the needs of the common people.
141654	need to fight harder against the democrates
141656	Trying to move to center which goes against Republican values.
141657	They are focus on agenda.
141660	blind loyalty to trump
141661	hypocrites. liars. obstructionists. trump’s lap dogs
141663	They are corrupt.
141664	is IT LIKE A CIVIL WAR GOING ON INSIDE THE REPUBLICAN PARTY.. .....SOME HORR>D THINGS... .......MEAN , MEAN CRUEL VILOINCE AND HATDES
141665	to much fighting between parties[CHAR(10)][CHAR(10)]
141666	There is rampant racism within the party
141667	they support Donald Trump
141668	they seem to be as pro-war as the Democratic Party.
141671	The Republican Party seems more concerned about the entitled and wealthy people of this country.
141672	they only care about themselves
141674	support tax cuts for rich, oppose women’s rights, anti-immigrant
141675	The way that they have allowed Donald Trump to take it over. It is no longer a political party. It has become a wholly owned subsidiary of the Trump business venture. This is the same thing he wants to do to the entire nation.
141678	Poo pooing “global warming”, although I think that term is mislabeled.[CHAR(10)]
141680	they are for themselves
141681	negativity toward opposition
141682	the party used to be honorable. now those elected into that party are scared of Donald Trump they will do whatever he says. they feed into the conspiracy theories
141684	Spineless, not unified in defeating the evil of the Marxist democrats.
141687	As I wrote above, I think the Republican party has drifted very fair in the last couple decades from its original stated values of limited government, personal freedom and fiscal restraint. They have become strident and arbitrary about gun rights, sexual freedoms, and limits to the welfare state. They seem co-opted by big business and the upper class by stubbornly insisting on low taxes and lax regulation at the expense of ordinary people. They come off sounding racist and sexist. Their embrace of a truly terrible, lying, cheating President in the form of Donald Trump to foster their own political futures demonstrates how corrupt they have become.
141688	They are trying to deny racism and hate and they are using the legal system to benefit them.
141689	Rhinos , fake Republicans
141696	Remains the party of the rich and is guilty of Christian nationalism
141700	not for to better this country, better people, better humanity
141702	they won't let go of the idea of not cutting military spending. we don't need redistribution of wealth we need redistribution of the budget.
141705	too self absorbed in their own interests and not the needs of the people.
141707	the views on abortion
141709	They have too much infighting and inability to coalesce on some issues.
141710	In general, there seems to be increasing intolerance and hostility against other points of view
141711	they can’t unite on core principles
141713	The only thing I would say that I don’t agree with, as far as being a republican is the abortion policy.
141718	Donald Trump is am extremist
141719	who they have as a candidate
141720	All the breaks for big business.
141723	They go against the will of the people.
141725	There constant attempts to attack the freedoms and health of Americans with book bans, women's rights issues. legality of abortions and fertility treatments, threats against health care and insurance, overturning of environmental laws, and climate change denials.
141727	trying to overthrow our democracy
141730	their inability to organize to get things done
141731	most are useless. no different then the democratic party
141732	MAGA Focus. conservative principles replaced by authoritarian driven plans.
141733	anti democratic. totally corrupt
141741	Its stupid believe in the 2nd Amendment and Anti Abortion. Next to the syncretic use of Religion - Judeo-Christian religious beliefs to justify such nexus.
141744	I don't like the conservative values" they push. It seems to me they want to make things more difficult for poor people."
141746	Unwillingness to compromise
141747	I do not like how the entire party has pledged it's allegiance to the felon Donald Trump. Simple cult like behavior.
141748	cant agree on anything and are not partisan
141750	Project 2025, gerrymandering electoral districs, controling women, policies benifiting the wealthy but no one else, and bowing to their false idol trump.
141751	Not willing to work with Dems. Has some “crazies” (Marjorie Taylor Green & Matt Gaetz). Has been taken over by Trump and is becoming “America First”.
141752	Religion driving too much policy.
141753	MAGA, no guts, subservient, untruthful
141755	position on abortion
141756	The Republican Party has totally become the party of Trump, though there are some members like Liz Cheney and Adam Kinzinger whom I respect very much. The main part of the party is trying to use Trump to put there extreme right-wing ambitions, as in Project 2025, into effect, with zero bipartisanship.
141757	too far to the right
141758	The right wing magna side that seems to be taking over the Republican party.
141759	tying religion with government policy. Anti abortion and LGBTQ rights
141760	anti minority and anti lgbtq stance
141761	The Republican party has moved too far to the right. They are too harsh and do not respect the individual citizen and cater to special interests . The Republican party has allowed itself to become a party that has given control to an individual, Donald Trump, who rules the party through threats and coercion. They have abdicated their loyalty to the country with loyalty to an individual.
141762	Just like any other political party, they seem to have selfish interests
141763	Their insistence on trying to insert Christianity into American politics. It has no place in government. With the exception of a few, most republicans make pitiful excuses for and kowtow to trump. They're spineless imbeciles that won't speak against anything that they know is wrong. They seem to be obsessed with subjugating anyone not white and christian to as many dumb policies as they can come up with.They couldn't govern themselves out of a pothole in the road.
141766	It has undergone a transformation (and not in a good way). It is literally a cult where the allegiance is to one person not the US. They are afraid of embracing change hence why they want to 'go back' to another time
141767	Support of the death penalty, lack of compassion for some.
141769	They appear to be anti-american
141770	Election result denial, support of Donald Trump after he has been proven to be a criminal and a liar, focus on making the rich richer and the poor poorer, Christian Nationalism, position on abortion and taking away women's reproductive choices, stupidity within their Representatives, trying to legislate what they believe is their morality, banning books, banning transgenderism,[CHAR(10)]foreign policy
141771	Neither party, can come to terms over anything, if there was a blue or red Popsicle they would probably argue about that. Instead of what they should agree on or not agree on, what's best for the people!!
141772	On almost all topics they want it their way. There’s very little comprise, if any, even if it would benefit the country.
141773	propagation of lies and wrong information through social media and general engagement bait
141776	Sometimes I feel a lot of Republicans only care about economics or facts to the point where one can seem a bit negligent to the other persons situation.
141777	i feel the republican party has strayed from its conservitive values.[CHAR(10)]i have been a lifelong moderate republican but switched to independent when Trump was elected.[CHAR(10)]the current GOP does not represent anything i believe in.
141778	Even before Trump the Republican party abandoned its principles and became a party solely focused on winning elections. That is the entire point for them. In the past at least they pretended that the point was to win elections IN ORDER TO advance policies. At this point, though, and I think Trump is the inevitable outcome of it, the Republicans are only about winning at any cost. Maybe the Democrats are too, but the part of their party challenging that is louder than for Republicans.
141780	Could fight a little harder
141783	no están unidos
141785	Disingenuous alignment with Trump due to his popularity in his sizeable base, against expansion of healthcare, restriction of abortion rights, increased receptiveness toward false conspiracy theories since the Tea Party movement, which has markedly further increased since Trump's rise to prominence.
141786	Their blind adherence to Trump despite his outrageous, self-serving policies.
141788	They have rallied around Donald Trump and offered him as the best candidate for president - they have chosen a con man to represent their party. They have become extremists and racists. They are all for white males and have been responsible for assault weapons to be legal on our streets. They are conservatives that have taken freedoms hard won by women. They would like to go back to the fifties when white males ruled the country and held women back. They do not like diversity. Need I say more!!!!
141790	They always seem so uptight and their ways of thinking are not always conducive to intelligence so it seems.
141792	I don't like how wishy-washy some of the Republican senators and house of representatives go from indicting Trump and then becoming an admiring supporter of him. These people seem to have blinders on that don't allow them to see his criminal activities.[CHAR(10)]
141793	refusing to work with Democrats for common good of our nation
141794	Every year they slide more left and give in on issues they should be strong on. Its like they are just phoning it in or playing a part to get votes but dont actually care about the values they champion.
141797	Infighting between factions.
141799	anti abortion, too conservative and religious
141803	Too partisan and looking our for their own agendas
141804	need more action
141806	the party has been taken over by bad actors. they don’t have real policies, they don’t make meaningful change. like voting against the border bill.
141808	trickle down economics, tax breaks for the rich, corruption of the supreme court, abortion stance, women's rights views, immigration, stalling all progress in congress, gerrymandering, climate change views, using public lands for private sector resource grabs
141810	as I said earlier, I believe in Universal healthcare and they do not support it. This is very important to me and would be one of the reasons that I might not vote Republican
141811	it seems in recent years, some in a position of power have flip flopped on issues
141812	woman's health rights [CHAR(10)]gun laws [CHAR(10)]energy issues [CHAR(10)]climate strategy
141814	all of their ideology
141820	views on abortion and immigration and women’s matters
141821	they all have their heads up TRUMP'S ASS.
141823	They have sold their souls to Donald Trump, I don't even recognize that party today. In the past I would feel good with a moderate democrat or republican, now I would not trust any republican in office.
141824	Mixing religion with politics. Rigidity. Favoring the money makers with favorable policies. Let's face it, the party is made up of politicians - and that means they eventually become lifers" and far removed from whatever altruistic notions they had which prompted them to become a politician in the first place."
141825	wanting to cut social security, medicare - it's really the party of the rich with no regard for the country as a whole. Promotes inequality.
141826	intolerance, complete devotion to one candidate, MAGA acceptance, no backbone.
141828	They are a house divided. It like follow the leader.
141829	same as democrats but this party bows down to their GOP NOMINEE [CHAR(10)]TRUMP
141830	Like all politicans, they tend to be selfserving first....want a term limitation policy in affect with both local and major elections.Need to attract bright progress thinkers who have success in other fields other than earning from taxpayers as prime funders.
141832	stand of most of them on abortion, inability to get good, necessary legislation passed, their refusal to back Ukraine, their abysmal lack of knowledge about the world/foreign affairs
141833	Sometimes they don't stick together, even when they're in power.
141834	Donald Trump. his an embarrassment
141835	sometimes they have a hard time working together to fight against the left
141836	Self-interests before country, can be bought, deaf to the concerns of the people, arrogant, confrontational, facts don't matter, make up their own rules and operate as if the country is 'stupid' and buying their crap. Self-serving at every level, in every way.
141838	Project 2025, abortion bans, lack of jobs created during Republican presidencies
141840	upper class, dont help poor
141843	their allegiance to Trump
141845	They need to unify and become more effective with getting their message out to be able to beat the corrupt democratic machine.
141846	leadership, abortion policies , book bans, flattery of dangerous foreign leaders
141849	trump- how he represents the country is catty and pathetic
141852	Selfish, don't have a heart for other mankind
141853	They don't practice being bipartisan. Many Republicans say things that are ridiculous and won't back down even after being fact checked. I feel the Republican Party is willing to win elections even if they have to do it by using illegal means.
141854	Just general things I don’t agree with, such as increased military spending, cruel opposition to illegal immigration, weaving religious intentions into things such as schools and reproductive rights, stances on guns, etc.
141855	MAGA has taken it over and is racist, crazy, and stupid
141856	Viewpoints toward Roe v Wade. I believe it should be federally protected in order to keep others safe in their choices.
141861	Fear mongering. They have shifted from a party of ideas and plans to just shouting at shadows.
141864	RINOS! - Example: Liz Cheney; Mike Pence; Mitch McConnell: Etal.
141865	some people can be irrational
141868	- They do not hold their members accountable as long as it furthers their agenda. They have went fully off the rails after Trump was elected.[CHAR(10)]- They blocked Obama from installing his Supreme Court justices and installed highly partisan hacks and creating an unbalanced court.[CHAR(10)]- They have to lie to get their unfavorable agendas passed (Roe v Wade being settled law -> undoing Roe v Wade saying states should decide -> Trying to ban abortion nationwide, etc.)[CHAR(10)]- Many of the things they do/say are pretty disgusting.
141869	abortion laws, political agenda, the Supreme Court judges and their decisions, Donald Trump
141872	In general I think politics bring out the worst in people from both sides. I don't like the polarization where there is no room for civil debate. Power is too concentrated in both parties so there is dynamic that you are either with us or against us". "
141873	They have allowed Donald Trump to rise to power a second time. There is no Republican Party-it's now the Trump Party
141874	It seems that republicans need to stand stronger on policy against democrat legislation that they may know is not good. I think strong leadership in the congress is very important.
141877	Afraid of some of the things they stand for
141881	SK
141882	Prioritize tax cuts for the rich. Defends a convicted criminal (Trump).
141883	I do not support far right views.
141885	not supportive divided
141886	over regulation and concern of people's private lives. Unaccountability and favortism toward business. Lack of concern for the environment. Favortism toward gun rights advocacy money over citizen safety. Tendency to attack opponents personally rather than run on a real platform and offer solutions.
141887	The Republican party has waffled and no longer stands for the principles that it did 50 years ago. It doesn’t really stand for anything anymore. I do not really consider myself to be a Republican.
141890	not willing to work in the same room. More prone to tear done other members rather than try to work with them.
141891	position on abortion; their hypocrisy; their current leadership
141893	Too divisive and more interested in getting in control than really working together to keep this great county working as a true democracy.
141894	Regressive ideas and policies, causing issues for the country in the name of the party, can't seem to go against what Trump says (see border deal that he tanked), conservatives haven't really ever been on the right side of history, members espousing and repeating lies and blatant fear mongering and racism
141895	they are way to conservative, and they out right lie
141897	SK
141901	I will vote for Trump, but sometimes he needs to keep his mouth shut!
141902	lack of balancing the budget
141903	The general way they have all vacillated on many important issues along with showing unwavering support for Trump.
141906	they have transformed into a hotbed of the negative and unrest in this country
141907	often too many misogynistic white males in charge
141908	they are just as crooked as the rest of the politicians in the world
141911	APPARENT LACK OF INTEREST IN CORRECTING THE POLITICAL SYSTEM
141912	they can have some extreme views on immigration
141913	tax increasing. not consider about country’s economic problem. only think about American pride.
141915	How they treat the people
141916	too strong in opposition to abortion; too angry; too interested in being anti-woke
141918	I don't like that they are so divisive and are unwilling to work with others. Also, they have endorsed a candidate for President who should not be running.
141919	Lack of integrity and proncipals.
141920	They are not true to the people
141924	it’s become the party of Trump and MAGA cult. lost any notion of real conservatism.
141928	SK
141929	I especially don't like the MAGA Republicans
141930	a lot of them say they stand for something to get people to believe they will stand up for them but lie and fill there own pockets
141931	su constante ataque a los emigrantes que no son blancos y su amenazas en contra del Seguro social, Medicare y ayuda a los más necesitados
141933	I don't like:[CHAR(10)]Trickle-down economics.[CHAR(10)]The increase in Christian nationalism[CHAR(10)]The tendency to vote against something because the Democratic party is for it[CHAR(10)]Lack of support for Ukraine[CHAR(10)]Idolization of Trump
141934	Of late, they seem to be a bunch of white men who want to rule and control.
141935	cohesiveness; candidate choice
141936	seems they can’t find candidates that are honest, conservative & loyal to the party
141937	They are not in government to protect the rights of Americans and present as not united and “off the rails”.
141939	There support of a sex offender. liar and a bully. They are afraid to cross him. Their stance on women's rights and they cannot tell the truth.
141942	SK
141949	overly conservative, failing to meet in the middle, over, focused on religion, Terrible policies regarding lesbian, gay gender issues, Lack integrity by following Trump to their own detriment. Lack of conviction to stick to their own well established principles of the past. Too far to the right. [CHAR(10)]
141950	letting trump take over...again spewing hate and taking the country back 100 year within 4
141951	they do not stick together on issues
141952	The party of personal freedom" spends all of their time trying to restrict the freedoms of other people, and the party of "fiscal responsibility" is always raising spending and cutting taxes, especially for corporations and the wealthy. Their policies are cruel, their reasoning faulty and their judgment suspect."
141954	Dedication to over turning abortion rights, dedication to NRA and opposition to common sense gun legislation, opposition to combating climate change, dedication to reducing entitlement programs while providing tax cut for uber wealthy. Ability as a party to support a convicted felon who is racist and misogynistic.
141955	Their general attitude towards the less fortunate
141959	Pro Life Legislation, anti union/labor
141961	Ruthless, cold with out empathy. Their Terrifying strength is also their greatest weakness.
141964	the need to play the political game
141966	turned into sycophants and single minded focus on social issues like abortion
141967	where they stand on abortion
141969	The mindless following of an insurrectionist & felon.
141972	almost everything else
141975	allegiance and adoration of donald trump, disregard for women's reproductive rights, having unfavorable opinions on affordable healthcare and education, lack of a reasonable policy on immigration, not securing the future of social security
141976	stance on abortion, stance on DEI, stance on banning books, Christian Nationalism taking over, how it's racing toward Nazism, stance on LGBTQ people and rights, playing games with border control policies, pandering to billionaires, it's stance on worker's rights, Israel/Palestine, it's inability to hold January 6th participants accountable, the fuckery regarding the Supreme Court. The backdoor nonsense with Russia and Putin, continuing to support and placate bad actors, like Marjorie Taylor Green and not police itself, it's inability to acknowledge climate change and what is doing to our country and the rest of the world.
141977	I believe that they base some governmental issues off of their own personal religious beliefs or values.
141978	they appear to be racist and do not like immigrants in general
141979	They don't work together like they should
141980	They appeal to conservative social values in a way that feels disingenuous
141981	specifically how nearly the entire party fell to licking Trump's boots. the lot of them have so much greed and grifting going on, and power hungry games. America has never had a perfect system, but we have had a reasonable one, and I feel that the insanity behind the Republican party has caused some great damage
141982	They are a bunch of idiots! All they do is kiss Trumps ass to save their jobs. Look how many people went to prison for him!!!! HE IS SUCH A FRAUD!!!!!!!
141983	The pary is based on being racist towards people that is not like them.
141985	Not trying hard enough to balance the budget.
141986	Their stupidity
141987	Far right policies are too far removed from where most Americans are on issues
141989	the amount of support with Trump saddens me with the Republican Party. No one seems to want to go up against him.
141991	I don’t always agree with their social policies
141993	Failure to separate church and state, foreign policy, healthcare, etc
141997	too many election deniers and believers in conspiracies, tax cuts for rich
141998	Too weak...they don't fight for their stated principals.
141999	Holy Rollers. God is love. Not those Baptists and the like.
142000	They tend to promote policies that are fiscally irresponsible and many Republicans are beholden to the military industrial complex.
142002	values do not align with my own.
142004	I don't like the collective cultism that exists within the Republican Party, which does not allow dissenting opinions within its ranks. I also do not like the current climate in which no Republican can disagree with former President Donald Trump.
142007	They are not as united as the democratic party at times.
142008	as an athiest i don't care for the Christian beliefs
142009	When a leader gets off track in the wrong direction
142010	needs to be stronger to get policies done
142011	They are no longer in control of their own party and have basically made Donald Trump their czar. Moreover, the majority of them are no longer interested in truth - only their careers.
142012	Supports Israel in committing a genocide, bad on immigration, bad on climate policy, bad on foreign policy, doesn't support abortion, takes away individual freedom, bad on lgbtq issues
142013	They are afraid of Donald Trump and do just what he says to do.
142014	I don't like the way the Republican party as a whole (and there are exceptions) is capitulating to Donald Trump's extremist views and agenda. The mostly conservative Supreme Court's Overturning of Roe vs. Wade and other extreme decisions is a blatant example of the loss of women's rights and thus freedom for all citizens.
142016	Very divisive, negative influence for the country.
142020	stance on women’s rights, immigration, willingness to assist those in financial need for things such as family leave, healthcare and student loan forgiveness.
142025	their hypocrisy
142027	A better canidate for one
142028	That they have lost all conviction that made sense. They are now ultra-conservative which is scary and completely opposite of how I view and hope for the world.
142031	Anti-democratic, anti-civil rights, anti-woman
142032	career politicians
