V240001	V241170 - PRE: What does R like about Democratic party [text]
141482	women’s rights, apparent lack of extreme gerrymandering when given the opportunity
141486	They can do a lot of good for minority groups and the disadvantaged
141487	The idea to help and grow our country with people trying to lift up others.
141488	Everything about the platform.
141489	Democrats are trying to help middle income Americans with tax cuts, and student loan forgiveness. Working on infrastructure and giving women back to right to decide for themselves.
141490	women’s rights, supporting retirees, trying to fix student loan debt.
141491	I appreciate the focus on working families, DREAMers, a woman's right to choose, public education and supportive entitlement programs. I've liked the push for bringing back manufacturing, especially microchips, and their focus on green energy and acknowledging/addressing climate change.
141494	peace
141496	more moderate and even keeled, not so fanatical
141497	[CHAR(10)]We need a good solid education system in place so we (voters) can get the best people in place for the job to run this country and go forward.[CHAR(10)]
141501	More social equality and concern about issues of personal freedom
141503	Pro Choice[CHAR(10)]Supports all citizens[CHAR(10)]
141504	Environmental efforts, efforts to create equity among all people, working towards affordable healthcare, emphasis on democracy
141506	progressive values[CHAR(10)]support for families, children, education[CHAR(10)]willing to address climate change
141509	Fighting climate change, making rich pay their fair share, fighting inequity on many levels.
141510	Supposed to be the party of the working people, unfortunately I think is in the hands of the extreme left and Hollywood
141513	their policies are structured towards the majority of Americans, and they fight for a woman’s right to choose
141514	Unity, limited gun rights
141516	EL PARTIDO DEMOCRATA PIENSA Y ATIENDE MAS LAS NECESIDADES DE LOS HISPANOS.
141519	The inclusiveness of the party, women rights and the rights of all.
141521	Policies on science, bodily autonomy, social services, immigration
141524	They seem sensible
141525	Their view on abortion
141526	The Democrats are for the people.
141527	They are working for the people.
141530	big on pushing environmental agendas and being more progressive.
141533	Policy views on abortion, worker's rights, raising taxes on the wealthy. Some willingness to push for environmental protections. Less isolationist than Republicans and still believe in America's leadership role on the world stage.
141536	They defend the American republic and recognize the importance of good international relations
141537	It feels like they are pushing for more social equity and freedom and trying to do something about the mass shootings that continue to happen
141539	Tend to be all inclusive for all walks of life and preserve our land from capitalism
141540	They try to help the hard-working man
141541	I like the heavier focus on the people as individuals and the choices that we make to live our lives. No larger power should be able to have an impact on our freedom to think and choose for ourselves.
141542	education, student loans. liberal ideology
141545	caring about the future of the United States.[CHAR(10)]Climate change,health insurance for everyone.
141546	favorable to unions and labor
141547	inclusive party, believes in diversity and Democracy! works well with others!! Honors norms and traditions of our government… Non Religious all are equal and should be respected!
141553	I think they are for the people.
141554	I lean deeply towards the progressive side, so the more progressive things that the Democratic party has done, the better.[CHAR(10)]Examples: [CHAR(10)]- Walz making Minnesota a safe state for abortion and women's healthcare. Same goes for other states, but I don't recall which ones, offhand.[CHAR(10)]- In kind - Guarding women's reproductive rights and rights to abortions.[CHAR(10)]- Obamacare/affordable healthcare plans[CHAR(10)]- Minimum wages[CHAR(10)]- Support of safe immigration policies for the country[CHAR(10)]- many more
141557	They are progressive.
141558	The Democratic Party supports the issues that most Americans favor: pro-choice on abortion, common sense gun control, Social Security/Medicare, affordable health care, climate issues, free and fair elections, and strengthening/expanding the middle class.
141568	they are more for the people
141570	abortion stance - honest - reliable - law abiding
141572	care for the poor
141574	less likely to contort facts as needed, more willing to participate in honest discourse and to meet in the middle. have historically decreased the deficit in times of power. the only party willing to meaningfully support maternity leave and childcare costs, find solutions for the underserved, support women’s rights.
141577	They're for legalizing cannabis.
141578	I believe in what the Democrats stand for especially helping those that help.
141580	Abortion policies
141581	Try to improve people's lives.
141584	I feel like they know tge struggles of the average American.
141585	pro-choice, climate change and protection of the environment, student debt relief, prioritizing lower and middle class and not 1%
141588	environmentally conscious and generally pro choice
141589	moderate, generous, creative, considerate
141591	They seem to be pushing a message of hope for America. A shift away from the anger, unrest, and violence that has been leading us. I like that they want to keep our personal freedoms intact and preach a message of tolerance. [CHAR(10)]I like that their message seems focused on a brighter future, one my kids could thrive
141594	Looks out for the people and cares about Americas issues.The way they handle environmental issues, energy choices, ozone concerns, cares for the middle man, willing to help less fortunate
141595	they are do good for the pople
141599	some Democrats are fair when it comes to doing the right thing
141601	I am a teacher and it seems that the democratic party is looking out for teachers more as well as women's rights. The republican party seems to tell people what to do without recognizing exceptions to the law.
141604	Open- mindedness in addressing major issues
141605	most believe that women have the right to make decisions about their own bodies and medical decisions not the government.
141611	we share a lot of the same views on how to move the country forward, and generally with a liberalized approach.
141616	cares about people
141618	They do their best to hold up Democratic Principles.
141619	Ture to Democrat values
141620	They tend to align with my political beliefs but I do think they have a tendency to be ineffective at times against Republicans.
141622	That for the most part they’re united in their causes. They get out and get involved , volunteer etc. But that’s because many Republicans are working and don’t have as much time
141623	Supports democracy
141626	they tend to always lean toward helping to improve conditions for the poor and working class people
141628	GROUNDED IN REALITY.
141636	jeez ow i sound like a historical republican. now democrats are defenders of US global engagement, keeping govt out of bedrooms (support lgbtq rights, abortion) support welfare - child school lunch programs, affirmative action. and gun control I’ve spent time in other countries, such as Japan. Japan doesn’t have mass shootings. or lack of healthcare. it doesn’t have to be this way in the us
141639	they’re ineot at governing but aren’t fascists
141647	They are trying to do a good job by letting the people who understand the government do their job: the Fed - monetary policy, the federal courts - crime etc and not interfere. I believe they are trying to keep us safe and out of war
141649	inclusive, everyone is welcome
141651	It is the party of the common people.
141657	they are for the people.
141660	People over corporate.
141661	they are honest, caring and trying to do the right thing for the world
141662	They switch sides too often and do not stand firm in their beliefs.
141663	Illusion for supporting the working man.
141664	honestly a d humbly doing many , many good things for many that really need it.. .. NEWS DETAILS DONT GET MUCH OF 100S OF AMAZING THINGS TO HONESTLY HAVE CITIZENS KNOW WITH PROTECTION SOLUTIONS...
141666	They focus a lot on human rights and right to choose which I appreciate
141667	They supprt America[CHAR(10)]
141671	This party seems more responsive to the needs of regular working people.
141672	They try to help people
141674	support civil rights, reasonable immigration policy, support for the working class.
141675	Inclusion. They tend to invite folks in rather than make them feel excluded.
141677	telling the truth
141678	They are paying attention to global warming. I think warming is a natural cycle, but our damage to the earth is very real and needs to be addressed.[CHAR(10)]
141680	democracy they support the dempcracy
141682	they are much more decent than the republicans and they share my biewd
141685	I believe they are for the people.
141687	The Democratic Party has consistently favored supporting ordinary citizens in their struggle for a safe and prosperous life. They favor reasonable gun regulation. They favor affordable health care for all citizens. They support Social Security and Medicare to provide decent care for the elderly. They support strong education for all our children. They acknowledge climate change and support law that protects the environment. They are the ballast that counters the outsized influence of big money interests.
141688	They support the small man and small businesses and they are diverse.
141696	cares about the well being of all Americans
141699	SK
141702	 their coalition is a more realistic representation of inclusion and diversity in America.
141705	I feel they are more in touch with the needs of the country.
141707	the views on abortion laws
141708	there platform
141709	They completely ruthless in pursuing their goals.
141710	Both the Republicans and Democrats steal...but the Democrats give a little back ;)
141712	Many Democratic Party policy positions align with my own positions.
141718	help the middle class population
141719	choice over body
141723	They aren't the Republicans.
141725	They are for protecting the citizens in terms of health care laws, abortion rights, freedom of speech, environmental laws, social security protections, and climate change mitigation efforts.
141727	enforcing our values and democracy
141728	I like the values they stand for in making this country a more diverse place
141732	SK
141733	pro democracy care for working class people.
141740	they are standing on what they want in the world
141741	It has kept its promise to fight for the middle and working class, immigrants, women, minorities. I have benefited from the gains and fight of the Liberals going back to Mr. M.L.K. and that generation, the Women that have endured through decades.
141742	Que estan ayudando a los inmigrantes.
141744	I feel like they do less pandering to the rich and religious.
141747	They stand up for the rights of others.
141750	common sense. Policies to help the economy and allow women the right to make there own decisions about their body.
141751	Traditional foreign policy that engages w other countries
141753	for the people, women’s rights workers rights
141755	seems in tune with my middle class views
141756	They are totally committed to our form of democratic government, while honoring bipartisanship.
141757	often liberal views
141758	Abortion rights.
141759	abortion and human rights for the most part
141760	support for LGBTQ and minorities
141761	The Democratic party on the whole seems to care for the individual person. Their policies tend to work to protect the citizens.
141763	They're trying to keep religion out of the government, they stand for freedom of choice regarding abortion, reasonable gun control policies, and they're generally not a bunch of bumbling dumbasses pandering to the weak-minded evangelicals.
141766	Looking to do what's best for the American people
141767	The Democrat Party has always been a good advocate for those who have no agency. I have an adult child with developmental delays and programs developed under the leadership of the Democrat Party have been very helpful for him.
141769	They are against the Republicans
141770	Conservation and protection of the environment, individual rights, foreign policy, education policy, separation of church and state, economic parity for all
141772	The Democratic Party seems to try to reach compromises that would benefit our country. They are up against unbending opponents.
141773	respectful but not afraid to go after the disinformation this year
141776	How willing they are to help the people in a lower economic position and how they put importance on multiple people's situation.
141777	generally they are too liberal for me but in the last 8 years they have been the voice of reason. something i used to look to the republican party for.
141778	I very much like the social inclusion aspect of the party. Also the idea that we should have a robust social safety net.
141783	el deseo de ayudar al país
141785	Pragmatism of the elected officials, desire to help the underprivileged.
141788	The Democrats are progressive. They want inclusiveness. They do not discriminate. They promote women and equality. They want to preserve the constitution and the democratic way of life. They believe in live and let live. They are broad minded and encourage success of all people. They are not afraid of being replaced" by immigrants. "
141789	they seem fair, trying to keep the country together.
141792	The Democratic party supports women's biological rights, the right for everyone to vote no matter of what skin color, they took care of the infrastructure of our nation, passed a law for gun control, and much more.
141793	generally open-minded
141794	The left always has a good environmental policy. Even people leaning right should have no issues with having a healthier cleaner world to live in.
141795	economic philosophies
141799	equality, helping the disadvantaged, diversity and inclusion, pro abortion
141803	More honest and will to stand up for individual freedoms
141806	elected officials care more about average Americans than the other party. they make real attempts to solve problems.
141807	bueno ke esido demócrata por muchos años y es todo
141808	social stances, women's rights, immigration, tax policies that go towards fixing some of our nations problems, morality, social justice, international polices and soft power stances for the US in geo politics
141810	I like the fact that they are for Universal healthcare. I also do not support Israel at this point. Israel is participating in genocide of the Palestinian people. Some Democrats support Palestine as I do.
141812	women's health [CHAR(10)]climate [CHAR(10)]energy [CHAR(10)]health care [CHAR(10)]jobs
141815	they arefor peleple
141820	views on abortion and immigation
141821	get things done.
141823	I feel the democratic party cares about people's freedoms and the middle and working class.
141824	I guess you could consider (at least they seem to) them to be the voice of the people". And people do make up America. Advocates for women's rights."
141825	respecting individual rights, choices in leading one's life - a big tent
141826	broad acceptance of individuals, more emphasis on some of the social issues, more sense of fair play among individuals.
141828	fighting for the people
141832	Most favor abortion, most are supportive of Ukraine, lukewarm support of Israel
141833	That thet stick together......even if they're wrong in their stance.
141834	the money they have given to tribal nations, college forgiveness as well
141836	Listening to the voice of the people, delivering on promises, effective global leader and negotiator, leverages relationships to drive outcomes, focused on the greater good, investing in this country, rational, thoughtful, strategic but not ruthless enough to bend the rules the way the Republican Party has.
141840	they care about low income
141843	the align with my views more closely
141846	abortion policy, democracy protectors, drug prices, foreign affairs
141849	like some changes they’ve implemented
141853	They appear to work cooperatively with each other. They are willing to reach compromises for the benefit of everyone involved. They work to do the right thing!
141854	Support for the middle class, taxing the rich, equal pay, climate change efforts, protecting workers rights, equal opportunities regardless of sex, sexual orientation, gender, age, etc., and more. I lean more towards the general core values of the party as a whole.
141855	climate policy, civil rights, personal freedom
141856	Women’s rights, social service policies, and environmental policies.
141861	They have plans to help people.
141869	I stand with most of their policies
141870	I believe that women should have the ability to end a pregnancy if her life is at stake or in the case of rape or incest.
141871	more for peoples right and less intrusive
141873	They support a woman's right to choose control over her own body.
141877	The help the community. Seem to want to help us more
141880	Inclusive of all race and caring
141881	SK
141882	Support of reproductive rights.
141883	Support for Social Security and Medicare.
141884	They seem to be crooked, and uncaring.
141885	supportive of issues presented
141886	Concern and action to provide for individual rights, healthcare, safety, rule of law. Demonstrated ability to treat people with dignity.
141890	seem to be more intent to work across the aisle.
141891	position on abortion; position on world affairs and assistance to other countries
141893	they try to work together for all Americans.
141894	Consistent progression, individuals rights while paying attention to society as a whole. Appear to be embracing subjects and concerns for minority and marginalized groups.
141895	support for Israel
141898	social programs and consideration for those less fortunate
141903	On a balanced but somewhat sad response I find that most of the time there is a genuineness about most of the individuals that speak out in a positive nature about America and all values that encompass this nation, whereas the other party seems entrenched in tearing down all that is good.
141906	they most closely reflect my current outlook/feelings
141907	trying to protect us from Donald Trump and his tactics
141912	Soft on crime. Can’t seem to control the economy. No border control.
141913	for the people, more considerable with diversity
141915	SK
141916	SK
141918	I appreciate that they support and try to fund government services for all people.
141919	Does not make facts up.
141920	They care about the issues
141924	social issues such as abortion, gay marriage. universal healthcare and lowering drug costs
141928	SK
141929	There is so much but mostly because they have policies at help the everyday senior American's. They also are in favor of a woman's right to choose and believe in a free and fair elections.
141931	su defensa y ayuda a las comunidades menos privilegiadas
141933	The Democrat's philosophy is we're all in this together"[CHAR(10)]The Republican's philosophy is closer to "every man for himself" "
141934	They seem more tolerant" of people's differences and will work to make minorities feel valued"
141936	I think that the party as a whole means well as far as trying to make all citizens equal. That’s unfortunately not how our system works.
141939	Stand for the people. Concerned about the middle and lower class.
141942	SK
141946	Passage of universal health care.
141949	more support of the middle-class, healthcare for many Americans, Favorable abortion policy, No fear of women and minorities in government.
141950	LGBT Support, abortion policy, inclusive cares about middle class
141952	The Democrats have been good on domestic issues, especially around social issues and the economy. They don't do enough, and they treat every setback as merely another opportunity to fundraise. That said, they aren't persecuting trans kids or threatening to end no-fault divorce any of a thousand terrible things the Republicans would like, so they've got my support. On foreign policy, they are effectively not very different from the Republicans.
141953	The Democratic Party generally emphasizes social equality, environmental protection, and access to healthcare. Many appreciate its focus on progressive policies that aim to address issues like climate change, economic inequality, and civil rights. The party's commitment to inclusivity and diversity is also a significant draw for many supporters.
141954	Dedication to protecting abortion and women's rights, fight for common sense gun legislation, protections against climate change.
141959	pro choice,prolabor unions
141966	focus on people and equity positions to ensure all Americans succee
141967	where they stand on abortion
141969	The party realizes the great importance of strong allies.
141972	they are inclusive and work to help everyone as well as trying to balance it all fairly
141975	advocating women's reproductive rights, handling of the economy
141976	continuing to fight for abortion rights, wanting to expand worker's rights, the tax plan KH has proposed, pushing for sensible gun legislation, funding Ukraine, now it's starting to push back against GOP nonsense instead of just stating above the fray, listening to scientists about climate change, pushing to expand the Supreme Court, how it's courting Republicans to fight against DJT.
141977	The Democratic Party is more liberal and with “todays” norms of being gay, queer, not religious etc. The party overall seems to have a more “green” approach when it comes to climate change and environmental issues.
141981	currently, the party still understands democracy. they are willing to work in favor of the majority of people. they know how to communicate effectively, for the most part. they believe people have rights and freedoms and are not actively seeking to remove them.
141982	They are for the middle class of America.
141983	We stand for the people not our own political gain or greed[CHAR(10)]
141984	the wish to uphold roe Vs. wade and a more progressive tax structure
141986	Their fight for reproductive rights
141987	they generally stick together as a party, moderate Democrats are reasonable
141993	Social programs
141997	Democrats are for the middle class, the wage earners
141999	Seem to be friendly to humanity.
142002	values align with mine such as pro-choice rights. gay rights, immigration policies
142003	rights for abortion
142004	While I don't agree with the resulting policy attempts, I do appreciate the focus on caring for the planet.
142008	the stance on lgbtq rights and some of the liberal things they stand for
142011	At this time it is the only party interested in preserving our democracy.
142012	Better on abortion policy, better on social services, better on climate
142013	They tell the truth.
142014	Generally, the Democratic party tries to uphold small d"emocratic values and human rights for all citizens to live a comfortable and productive life with dignity. The Democratic party eschews anyone taking away the rights of others to participate in the democratic process and abhors the possibility of autocratic rule. They also believe in being a role model for democratic values for the rest of the world and supports other democratic nations to fight against potential autocracy."
142016	Generally more in line with my views. Seem more positive.
142019	They seem to be corrupt and not in touch with the peoples needs.
142020	liberal policies, stance on abortion, immigration
142021	helping the low income people
142025	they approved Self Employed small business owners to collect unemployment during the shutdown of the pandemic
142027	It's the Party I was raised to stand behind
142028	Stance on abortion, basic human/civil rights, healthcare, immigration, their morality.
142036	gun violence, allowing women to make own choice for abortion
142043	Trying to have progressive reform towards health care and reproductive rights
142044	they try to help the people
142045	They might help average middle class
142046	they seem organized and get things done to the extent they can.
142048	diversity and embracing new change.
142049	Believes and works to address climate change[CHAR(10)]Supports LGBTQ+ people[CHAR(10)]generally wants the government to function
142050	Social policies, pro choice, desire to increase taxes on the rich.
142053	Stand with my values. They are for the people and are trying to help the middle class
142059	I like that the party thinks about historically disadvantaged people. I like that they are more progressive in their positions. I like that they care about women's health rights, LGBTQ+ rights, and the systemic racism that people of color face.
142061	I like that the majority of Democrats I’ve heard speak seem still willing to listen to reason regarding policy.
142062	They’re more accepting
142065	BECAUSE WE PROTECT AMERICANS RIGHTS
142067	The Party is always working for the People of the Unites States of America.
142068	they seem to actually care about human rights and the environment, among many other things that align more with my beliefs
142069	They are a normal party with both good and no so good players.
142072	They want to preserve our democracy and restore our rights and freedoms
142074	?..mmm mm……..
142077	moderation of policies
142081	Progressive, interested in helping ALL people, prochoice, equal rights for women/LBGTQ/racial minorities. Separation of church and state. Gun control.
142082	Abortion, trying to create more balanced and maybe to an extent fair society.
142084	Inclusive, women's rights and body autonomy, LGBTQ stance, law and order, defending freedom, defending democracy, civil rights, voting rights, strong economic policy, active foreign policy
142085	Focus on Social Equality, Support for Science and Technology, Immigration Reform, Diplomacy and International Cooperation
142087	Works for all people.
142093	SK
142095	Better policy and outlook overall
142096	they are on the right side of history
142099	They are all for the people and what is best for the country and the world. They believe in democracy and the rule of law.
142100	law and order constitutional rights freedom of choice
142104	Joe Biden, Kamala Harris , Roy cooper , Tim Walz. believe in womens right to choose . not racist,
142105	I feel the Democratic Party practices more inclusiveness
142107	I think there are good people in the party. Unfortunately they have been ignored and marginalized by the radicals, who are willing to do violence to silence their opponents. Democrats used to stand for fairness, free speech, civililty, and taking care of people. They can get back there again if their silent majority would speak up.
142109	everything they stand for
142110	It's inclusive. Its policies make sense and will make the lives of the lower and middle class better.
142113	there tax plan.
142114	They are for Human Rights First
142120	innovative, forward thinking, big tent, new ideas, fair, welcoming or accepting of all people…
142121	They actually have proactive stances about issues, even if I don't necessarily agree with all of them.
142122	they want people women in particular to make there own choices about there bodies
142125	Health care plans for underprivilege.
142130	they are more for helping the American people and not just the rich
142132	SK
142134	They operate as a team and not as 1 individual running the party
142136	most
142138	They seem to be the principled party at this point, their stances or abortion rights, on immigration, education, and social services I agree with. When they take it too far left then we have a problem.
142139	Their commitment to civil rights, equality and equity.
142141	That they are for helping the poor.
142142	they are cohesive
142146	Pro choice, women's rights, civil rights. Believe in Democracy and the right to vote.
142148	They care about everyone listening to what they say
142152	abortion policies
142155	the D party is mostly behind the average American. They are however, road blocked by the MAGAs & some Ds (Manchin). [CHAR(10)]Ds want to take action against climate change, increase Medicare, social security, eliminate student debt, infrastructure, ‘bringing back jobs to the USA, make the rich pay their fair share of taxes…
142162	Standing up for a women's right to choose what happens to her body. This is a personal decision and the government should stay the hell of out it.
142163	They still want democracy
142164	They are for all people. You don't have to be rich to get help from them. The economy is always better under the democratic party. They put country above party.
142165	healthcare expansion, equality
142169	Under Biden and it seems like Kamala, I like that they've gotten more progressive on economic policy. The Inflation Reduction Act and Build Back Better seem to be legitimate wins policy-wise that help average Americans. Naturally, I wish they were more progressive. I wish we had universal healthcare, higher marginal taxes, free college, etc. but the Democratic party seems more progressive than under Obama. I also appreciate that by forcing Biden out of running for office again and picking Kamala/Walz it seems like the Democrats are actually trying to win.
142172	Women's Rights
142175	They are organized in attacking their opponents. They know that it is a WAR of ideas and they get people, mostly pieces of shit people, out to spread their propaganda to make it appear to be truth while the Republicans are just sitting home hoping for the best.
142176	They seem to be more concerned about people & their well-being.
142182	At one point in my life I was a democrat.
142187	not overrun with Christian nationalism
142190	concerned about what is best for America
142191	Moderation, rather than forcing the opposite just to be extreme
142193	They generally have some decent ideas that radiate with my thinking.
142194	inclusivity of approaches
142195	While democrats favor non-therapeutic abortion, a major failing in my opinion, most other policies they espouse are more realistic the those of the GOP. However, the nation is so evenly divided that it's difficult for Democratic policies to get through Congress. Especially the Senate thanks to the asinine filibuster rules. While the filibuster used to be a credible means for a minority to have influence, the present rules mean that a super majority is required to pass any law that the GOP opposes. Which comprises about any law that the Democrats put forward. Congress is all but deadlocked in a GOP quagmire.
142196	woman’s rights ,, [CHAR(10)]help the helpless
142201	They remind me of what Al Pacino calls hoo-ha" in one of his movies."
142206	only way to go
142207	 compassion for people
142210	They are Socialists and don't love America. They have left the fundamental beliefs that[CHAR(10)]started our country. Belief in God, Christian values, the Bible truths, that faith our early[CHAR(10)]fathers had like Lincoln & Washington. They don't respect our police and that is so sad.[CHAR(10)]They have an evil agenda.
142211	Talk Talk Talk ... just keep circling" their wagons"
142213	the opposite of the republicans views on women’s rights and the LGBTQ rights. climate change views. some economic policies.
142214	they include all peoplw.
142218	fighting for people however not much getting done, lots of talking not much in rral life ...
142219	The Democratic Party stands for the advancement of all people including policies, cost of living and laws. For all people, not just the people with income or investments over $100,000.
142220	For the most part I think Biden has done and awesome job dealing with Covid pandemic. He's gotten us out of the pandemic. I think all the anti-vaccine people are contributing to COVID still which is now called endemic". Biden also has had to deal with Ukraine and Israel, and inflation. "
142223	I do appreciate some of their environmental policies but often when these things get passed it is just a facade. Most policies are poorly written and include shady add ons.
142224	there support for the working class
142225	The looser stance on abortion.
142228	Their stance that everyone should have equal rights and choice. Their desire to push forward innovation and support the growth of the nation.
142229	inclusivity[CHAR(10)]Contrary to traditional painting the Democratic Party as one of identity politics, it seems to me that the Trump-owned GOP directs its fears and retribution to exploit the so-called un-elite, disenfranchised" of our society, characterizing them as victims of our government. The DEMs identity politics is more one of inclusivity of our ethnic, racial and cultural diversity than that of the GOP."
142231	They support abortions
142232	[CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]they rarely sponsor destructive leaders
142233	I like the intent behind some of their policies, that they try to look out for everyone. For example, universal healthcare—I like that the intent is to provide basic healthcare needs to everyone—even if I don’t agree with the implementation of the policy.
142239	They are, like all politicians, corrupt in many ways. However, they are currently acting in more ways to try to restore and protect personal freedoms in ways that are more in tune and in line with Constitutional and true moral values.
142240	Support of right to choose, concern over the environment, limitation of firearms
142246	Total restauración de la confianza internacional y Solidaridad de nuestros aliados internacionales perdidas será te la presidencia de Donald Trump.
142248	Democratic Party espouses keeping the government out of women’s health issues. The Party is more concerned with helping the middle and lower classes with housing and health issues. I think Democrats are much more likely to defend the people’s rights than the Republicans.
142249	they want work for the ordinary working American
142251	they seem to be trying to help seniors
142254	raising taxes and not stopping inflation. not a strong supporter of military
142258	They allow legal immigration.
142259	Despite the rise of what I believe is an equally dangerous element of illiberalism within the party to that of the far right in this country (specifically, the Progressive wing), the Democratic Party points itself towards what is good for the country. They try to solve problems, generally, that are facing everyday Americans. By and large, they provide a vision to make things better and work to implement that vision.
142261	Truth - the democrats have a platform that looks after people.
142262	thier stance on rights for all - lgbtq, women, POCs etc.
142267	health policies
142269	at this point in time they appear to have there sights set to to work on as a hole betterment to our society.and a common decency to men an women an to all with different ways people live there lives.
142270	I believe that Democrats believe the economy should benefit everyone, health care is a right, our diversity is our strength, and democracy is worth defending. Everyone deserves the opportunity to live and thrive.
142271	Policies and values mostly align with mine.
142272	foreign policy where inclusion is strength. looking out for the helpless.
142275	Stance on abortion, keeping immigrant's families together
142279	The DNC is about people and country.
142281	The Democratic party is for the people![CHAR(10)]
142283	In general, the focus is on the community and people. The party can be messy around these decisions because of the politics or the issues of individual politicians. But, overall the focus is on the people. On reproductive rights for women, rights for LGBTQIA, rights for marginalized populations, connection with other countries and cultures, etc. I wish they were louder as a party on gun rights, but this still is a contentious issue. An additional focus is economic stability vs CEO wealth. Generally, public health and individual wellness is a focus nationally ;-)
142284	they have a vision for the future and their agenda is good for America
142288	SK
142289	foreign policy
142292	they stand up for women’s rights, human rights, lgbt equality, equal pay, childcare costs, healthcare
142294	they look out for middle class and poor people
142295	overall acceptance of diversity
142296	ideally they work to create programs to help people and continuous improvement of those programs. Welcoming of people all colors and orientations. Favors programs that protect the environment and increase regulations on the wrong-doings of business. But, the party is constantly changing and it takes researching a candidate despite their party affiliation to know where someone stands.
142297	They want to tax rich people
142299	its candidates share my values.
142301	They are available to talk to and they favor social programs.
142303	Stance on choice, social security and safety nets, gun regulations. General attitudes towards supporting all Americans, not just those of a certain class, religion, color, gender etc.
142304	trying to make the country better
142307	They are pro-education.
142308	we are just hard working people trying to get a chance in the USA.
142311	The belief that we have to come together to lift up everyone.
142315	kinder party, care for the enviorment
142316	rights of all citizens, universal health care, progressive approach towards equality
142317	like their standing on social issues particularly women’s rights
142318	they seem to align with the way I feel most of the time
142320	Views on healthcare (for all), womens rights, and education
142323	They do not seem to name call and act immature berating people. They appear to want to work on the country's issues. I really wish I did not have to choose by party, but rather by person.
142326	They tend to do more for the needy.
142327	women's rights, gun control, health care, immigration
142329	The Democratic Party supports the middle class and the poor. They have a social conscience. The Democrats support women's rights. They are tolerant and inclusive.
142332	Openness to accepting people and willing to make policies that do not discriminate against others. Their support of women rights and access to healthcare for all.
142339	they seem to be the party that actually fights for the people. They advocate for equality, women’s reproductive freedom, they do not deny science and look to make lives better.
142340	-they try to design programs to help the average American
142341	They are warm toward the people they want to help to them to get ahead. they want to make to make jobs for them . They care about them
142347	Nominally progressive. I would still prefer a more left-wing option.
142349	They are for the people. They're fair-minded, want to get things done, positive thinking, forward moving and they smile.
142352	Seem to care a bit more about middle class and helping everyone succeed.
142354	it’s platforms on abortion and immigration
142356	encouraging Asian intellectuals in every steps of the party
142359	policies, get things done, focus on governmental issues.
142360	They actually seem to care about the people they represent.
142363	They are not perfect but still working to the benefit of most Americans.
142364	better then the alternative
142365	I generally agree with the Democratic parties' ideas and policy positions.
142367	their unity around the issues.
142369	Support the middle class.
142371	Occasional non-partisan efforts when it comes to national security
142373	-inspiring levels of unity within the party[CHAR(10)]-drive to win at all costs[CHAR(10)]-unprecedented sway over media, judiciary, bureaucracy
142374	too many games i dont believe what they say
142376	they care about people and their rights.
142379	I feel the Democratic party is concerned about people in this country
142380	protection of reproductive rights, support of public education
142381	the DNC's ability to get the media on their side to repeat talking points to sway public opinion. ot would be admirable if it wasnt so terrifying for our country
142388	On nearly every policy and social issue, the mainstream Democratic Party position is identical to my personal position. Zionism/pro-Israel foreign policy, social policy spending, health care access, support for Ukraine and Taiwan, support for international institutions that preserve peace such as NATO, need to act on climate change, need to improve industrial base so we are not dependent on China for crucial materials like semiconductors, need to fund infrastructure and public schools, need to provide free community college.
142391	The democrats are the champions of the U.S. Constitution and democracy , defenders of civil rights and freedom .
142394	more aimed toward the people in general
142397	socially progressive, creating a social safety net, respects women’s autonomy
142398	Concern for social and humanitarian issues.
142399	for the middle class, they want fair taxation, pro abortion
142403	I a Rep and would like to change I am just agreeing w the dem on so many things the ever before
142404	Their support on abortion
142406	gay marriage, abortion rights
142407	Pro choice stance.[CHAR(10)]Liberal, woke" ideology.[CHAR(10)]Socialist thinking and desire to take from those who work hard and try to live the American dream to support those who chose not to make things possible for themselves."
142410	I agree generally with their policy choices and prefer their outlook on the future of the country.
142412	open minded... freedom of choice... common sense.. for the people
142413	they think and do for all the people
142415	For the people Big tent welcome to cross points
142417	Try to assist all the peolple including everyone.
142420	women's rights, environment, education
142423	Their concern for the welfare of the people; fighting for democratic rule
142427	open boarders sending funding to other countries green agenda
142430	How they fight for the average joe, the working man who is carrying this country on our backs proudly. They hear our yells for help and try to render aid.
142433	Support for women’s right to make decisions about their bodies [CHAR(10)] supporting social security [CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]
142434	freedom and Democracy
142436	they care for ordinary people and the environment
142439	present economy[CHAR(10)][CHAR(10)]stand on climate change[CHAR(10)]our current interaction globally [CHAR(10)]
142441	Stances on student loan forgiveness, abortion, LGBT issues, public schools,
